feature_set,metric,model_a,model_b,difference,low,high,t,p_value,p_holm
no_consequence,auc,lr_penalized,random_forest,-0.0063034844511052675,-0.05064577970630628,0.03803881080409574,-0.39468589637133983,0.7132151947775045,1.0
no_consequence,auc,lr_penalized,xgboost,0.00259273136005993,-0.04510042842127286,0.050285891141392716,0.15093519336390768,0.8873326802691349,1.0
no_consequence,auc,lr_penalized,xgboost_depth_1_12,0.0033270887973023246,-0.0433911080669619,0.05004528566156655,0.19772765273170043,0.8528998685248681,1.0
no_consequence,auc,lr_scored,random_forest,-0.02115399025852378,-0.05588165120730844,0.013573670690260876,-1.6912424017067464,0.16605082362939663,1.0
no_consequence,auc,lr_scored,xgboost,-0.012257774447358583,-0.05026562710256069,0.025750078207843526,-0.895421221865036,0.4211758584529883,1.0
no_consequence,auc,lr_scored,xgboost_depth_1_12,-0.011523417010116188,-0.04523189366427617,0.022185059644043797,-0.9491421128620378,0.3962943186577886,1.0
no_consequence,auc,random_forest,xgboost,0.008896215811165198,-0.007072305691284036,0.02486473731361443,1.5467840801607333,0.19682000586218124,1.0
no_consequence,auc,random_forest,xgboost_depth_1_12,0.009630573248407593,-0.011318508866636528,0.030579655363451714,1.2763689506275897,0.2708950413635076,1.0
no_consequence,auc,xgboost,xgboost_depth_1_12,0.0007343574372423945,-0.011487018051405184,0.012955732925889973,0.16683090328017305,0.8755970813174647,1.0
main,pr_auc,dummy,lr_penalized,-0.15747968209851754,-0.295162343084452,-0.01979702111258308,-3.175662711626419,0.03367467803954998,0.40409613647459974
main,pr_auc,dummy,lr_scored,-0.145049898224971,-0.2961220744760833,0.006022278026141331,-2.6657660591765895,0.05605255182173962,0.6165780700391358
main,pr_auc,dummy,random_forest,-0.16333209678284474,-0.2955457211403235,-0.031118472425366,-3.4299233746765525,0.026537501858489628,0.34498752416036516
main,pr_auc,dummy,xgboost,-0.16417846735946032,-0.2677768007343626,-0.060580133984558,-4.39999840952537,0.011691201611121482,0.17536802416682223
main,pr_auc,dummy,xgboost_depth_1_12,-0.16161626516235256,-0.2643866566723263,-0.0588458736523788,-4.366225346984445,0.012003476485631857,0.17536802416682223
main,pr_auc,lr_penalized,lr_scored,0.01242978387354654,-0.040353314012063914,0.06521288175915699,0.6538193849319883,0.5489095513768213,1.0
main,pr_auc,lr_penalized,random_forest,-0.005852414684327167,-0.06830586305074024,0.056601033682085904,-0.26017631578253053,0.8075715771291028,1.0
main,pr_auc,lr_penalized,xgboost,-0.0066987852609427575,-0.05316054004759254,0.03976296952570702,-0.4003036397122862,0.7093908162345572,1.0
main,pr_auc,lr_penalized,xgboost_depth_1_12,-0.004136583063835003,-0.06923819213474064,0.06096502600707063,-0.17641646594817442,0.8685386010711057,1.0
main,pr_auc,lr_scored,random_forest,-0.01828219855787371,-0.07645449874500981,0.0398901016292624,-0.8725720065215383,0.4321453097741736,1.0
main,pr_auc,lr_scored,xgboost,-0.0191285691344893,-0.083547609795389,0.04529047152641041,-0.8244367130901116,0.45601419598611204,1.0
main,pr_auc,lr_scored,xgboost_depth_1_12,-0.016566366937381543,-0.09698034583658047,0.06384761196181737,-0.5719852322176505,0.5979420811997637,1.0
