feature_set,model,feature,mean_abs_shap
main,random_forest,MPV,0.0007496081643373307
main,random_forest,ALT,0.0007259977267702731
main,random_forest,waist1,0.0006890145514326546
main,random_forest,Height,0.0006390074632273623
main,random_forest,Smoking,0.000528580393745457
main,random_forest,BASO,0.0003962460069694626
main,random_forest,Drinking,0.00035358375454314414
main,random_forest,Tea,0.00032300828153965894
main,random_forest,BASOcount,0.00025118463005924246
main,random_forest,DRyd,0.00014581277503265133
main,random_forest,Gender,0.00011291704355497193
main,random_forest,DMhis,9.092326155094161e-05
main,random_forest,HbsAg,7.726271090574238e-05
main,random_forest,cataract,7.479151446945565e-05
main,random_forest,DMfamilyHistory,1.8740194821515003e-05
main,random_forest,MADPN,9.772897382746982e-06
main,random_forest,TFDPN,5.860624396187373e-07
main,random_forest,HCVAb,0.0
main,xgboost,Age,0.19107574224472046
main,xgboost,ALP,0.15898990631103516
main,xgboost,FCP,0.11629293859004974
main,xgboost,FIB4,0.09968475997447968
main,xgboost,SUA,0.09758661687374115
main,xgboost,FPG,0.08822322636842728
main,xgboost,LDL,0.08735163509845734
main,xgboost,HDL,0.08364629000425339
main,xgboost,CP2h,0.08128181844949722
main,xgboost,GGT,0.07943141460418701
main,xgboost,WBC,0.07878166437149048
main,xgboost,GA,0.07854112237691879
main,xgboost,TG,0.07229521125555038
main,xgboost,INS2h,0.06937798857688904
main,xgboost,AST,0.06535585969686508
main,xgboost,PDW,0.0620613731443882
main,xgboost,Bpsys,0.060594964772462845
main,xgboost,HCT,0.05565150827169418
main,xgboost,NEUTcount,0.05356396734714508
main,xgboost,WHR,0.053088437765836716
main,xgboost,PG2h,0.05251876264810562
main,xgboost,RBC,0.0512252002954483
main,xgboost,TP,0.050180211663246155
main,xgboost,PCT,0.04802630469202995
main,xgboost,HomaIR,0.04798731207847595
main,xgboost,Smoking,0.04622340947389603
main,xgboost,EOcount,0.04472723603248596
main,xgboost,AG,0.04360751807689667
main,xgboost,Fat,0.04203147068619728
main,xgboost,HR,0.04200846701860428
main,xgboost,CHOL,0.03784046322107315
main,xgboost,MONO,0.03592406213283539
main,xgboost,RDWSD,0.033962830901145935
main,xgboost,LYMPHcount,0.0338171012699604
main,xgboost,ISIGutt,0.03324703872203827
main,xgboost,hip,0.03177408501505852
main,xgboost,EO,0.03115157224237919
main,xgboost,ALB,0.02972504310309887
main,xgboost,MCHC,0.02910483069717884
main,xgboost,MONOcount,0.02869708277285099
main,xgboost,waist1,0.02788184955716133
main,xgboost,HGB,0.025668365880846977
main,xgboost,DBIL,0.022469105198979378
main,xgboost,HypertenHis,0.020298238843679428
main,xgboost,LYMPH,0.018718916922807693
main,xgboost,Weight,0.018558816984295845
main,xgboost,FINS,0.0183742456138134
main,xgboost,Bpdia,0.018007485195994377
main,xgboost,TBIL,0.0172579362988472
main,xgboost,ASTALT,0.017146620899438858
main,xgboost,Height,0.014956534840166569
main,xgboost,BMI,0.014735095202922821
main,xgboost,PLT,0.014267762191593647
main,xgboost,NEUT,0.013197616674005985
main,xgboost,MCV,0.013010513968765736
main,xgboost,ALT,0.012520190328359604
main,xgboost,MPV,0.011616458185017109
main,xgboost,Drinking,0.011252036318182945
main,xgboost,HbA1c,0.009588263928890228
main,xgboost,RDWCV,0.009301243349909782
main,xgboost,MCH,0.009195853024721146
main,xgboost,BASO,0.008718492463231087
main,xgboost,BASOcount,0.006413215771317482
main,xgboost,Gender,0.006016846746206284
main,xgboost,DM,0.005284580402076244
main,xgboost,Tea,4.369699308881536e-05
main,xgboost,DMhis,0.0
main,xgboost,DMfamilyHistory,0.0
main,xgboost,DRyd,0.0
main,xgboost,cataract,0.0
main,xgboost,MADPN,0.0
main,xgboost,TFDPN,0.0
main,xgboost,HbsAg,0.0
main,xgboost,HCVAb,0.0
no_consequence,random_forest,Age,0.01142094732368164
no_consequence,random_forest,ALP,0.008226065716363536
no_consequence,random_forest,FIB4,0.0076596296828881855
no_consequence,random_forest,CP2h,0.006511078388025833
no_consequence,random_forest,FCP,0.004852057977196835
no_consequence,random_forest,Bpsys,0.0043570691784473045
no_consequence,random_forest,PG2h,0.004301746178565415
no_consequence,random_forest,FPG,0.004055945907116975
no_consequence,random_forest,GGT,0.003995190941519377
no_consequence,random_forest,AG,0.0034576770768330206
no_consequence,random_forest,LDL,0.0033852074313468696
no_consequence,random_forest,ISIGutt,0.0033542422105775297
no_consequence,random_forest,TG,0.0028448158792775823
no_consequence,random_forest,CHOL,0.0027281889882864664
no_consequence,random_forest,Bpdia,0.002465038197753745
no_consequence,random_forest,HomaIR,0.00245242954179441
no_consequence,random_forest,WBC,0.002403309785207173
no_consequence,random_forest,RDWSD,0.002366200296635581
no_consequence,random_forest,WHR,0.0023473390648404446
no_consequence,random_forest,DM,0.002089552839699338
