feature_set,model,feature,per,coefficient,odds_ratio,low,high,p_value
main,lr_penalized,AG,1 DS,0.12755931719915628,1.1360522536803679,,,
main,lr_penalized,ALT,1 DS,-0.12593563437159327,0.8816715943033172,,,
main,lr_penalized,DBIL,1 DS,0.11030168192596697,1.1166148821795319,,,
main,lr_penalized,GA,1 DS,-0.10148744282830931,0.9034925245817409,,,
main,lr_penalized,Smoking,unità,-0.1001046538677145,0.9047427282554216,,,
main,lr_penalized,Bpdia,1 DS,-0.0976624944286562,0.9069549544541937,,,
main,lr_penalized,GGT,1 DS,-0.09609831947318237,0.9083747007560303,,,
main,lr_penalized,RDWCV,1 DS,0.09037659211497387,1.094586418711387,,,
main,lr_penalized,HR,1 DS,0.08076385769042096,1.0841148609504154,,,
main,lr_penalized,MPV,1 DS,-0.07703996889350961,0.9258528475530854,,,
main,lr_penalized,Height,1 DS,0.054179477146964534,1.0556740545208163,,,
main,lr_penalized,PCT,1 DS,0.05139630721758319,1.0527400190905647,,,
main,lr_penalized,HbsAg,unità,-0.045660080794119796,0.9553666544775306,,,
main,lr_penalized,LYMPH,1 DS,-0.03590027314782096,0.9647364988201251,,,
main,lr_penalized,TG,1 DS,0.02722679618644382,1.0276008322873362,,,
main,lr_penalized,PDW,1 DS,-0.024393206374072857,0.9759019034564034,,,
main,lr_penalized,HDL,1 DS,-0.022262934965948694,0.9779830553005734,,,
main,lr_penalized,CP2h,1 DS,0.020231948817404765,1.0204380019667574,,,
main,lr_penalized,HomaIR,1 DS,0.018584113222260785,1.0187578725731685,,,
main,lr_penalized,Weight,1 DS,0.018206283679824995,1.018373028459637,,,
main,lr_penalized,HbA1c,1 DS,-0.016824995019668023,0.9833157547322255,,,
main,lr_penalized,INS2h,1 DS,0.01657890551552373,1.0167170982078335,,,
main,lr_penalized,ASTALT,1 DS,-0.015218756154561216,0.9848964638725232,,,
main,lr_penalized,RDWSD,1 DS,-0.01290060185411994,0.9871822542294891,,,
main,lr_penalized,Tea,unità,0.011071362092814164,1.0111328764283345,,,
main,lr_penalized,Drinking,unità,-0.004906502409170006,0.995105514811568,,,
main,lr_penalized,NEUT,1 DS,-0.004289048923009044,0.9957201359112298,,,
main,lr_penalized,FIB4,1 DS,-0.0023203774553320245,0.9976823125394323,,,
main,lr_penalized,CHOL,1 DS,0.0,1.0,,,
main,lr_penalized,HCT,1 DS,0.0,1.0,,,
main,lr_penalized,MCH,1 DS,0.0,1.0,,,
main,lr_penalized,DMhis,unità,0.0,1.0,,,
main,lr_penalized,cataract,unità,0.0,1.0,,,
