technique,model,group,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high
level_weight,lr_scored,diabetici,0.3203027335132296,0.2585551330798479,0.20938248390855932,0.31467947947120745,1.0,0.9465286634799295,1.0,0.0,0.0,0.019319204573721077,1.0,0.9856039655993808,1.0
level_weight,lr_scored,non diabetici,0.3203027335132296,0.0981002802865151,0.08828718958673622,0.10887384212809283,0.8823529411764706,0.8447910917116028,0.9117738575938941,0.22359249329758712,0.2105096219278099,0.23724411300145318,0.7856618546611206,0.772815707497034,0.7979715066995124
level_weight,lr_scored,tutti,0.3203027335132296,0.1102475532527346,0.10026007839134071,0.12109603226982227,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.212484076433121,0.19997098487509676,0.22555941036832047,0.7986206896551724,0.7864421669294708,0.8102722574638577
level_weight,lr_penalized,diabetici,0.3279329075391393,0.2596899224806202,0.2099901971243892,0.3164407945203919,0.9852941176470589,0.9212902687183914,0.9973993164238931,0.020512820512820513,0.008005250618458151,0.05154701222916155,0.9809885931558935,0.9562757297675318,0.9918527998774999
level_weight,lr_penalized,non diabetici,0.3279329075391393,0.10003165558721114,0.09004953327076562,0.11098534852750691,0.8851540616246498,0.8479021667098734,0.914205382956836,0.23780160857908847,0.2244130755793074,0.2517296526077142,0.772938585759726,0.7598420658283489,0.7855225058515205
level_weight,lr_penalized,tutti,0.3279329075391393,0.11208662569505413,0.10194158964546897,0.1231028820401877,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2270063694267516,0.21417203412014427,0.24037454851461124,0.7855172413793103,0.7730704174239791,0.7974602331507046
level_weight,random_forest,diabetici,0.2538833662796655,0.26153846153846155,0.2118684860828729,0.31815230536419825,1.0,0.9465286634799295,1.0,0.015384615384615385,0.005245712805590021,0.04424828547355503,0.9885931558935361,0.9670055016142537,0.9961132024125176
level_weight,random_forest,non diabetici,0.2538833662796655,0.10112359550561797,0.09102246600597814,0.11220731248374481,0.8823529411764706,0.8447910917116028,0.9117738575938941,0.24932975871313673,0.23570869770999947,0.2634666099125621,0.7621727428431613,0.7488775716036065,0.7749755333313824
level_weight,random_forest,tutti,0.2538833662796655,0.11348148148148147,0.10321714745784508,0.12462469365931386,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23770700636942677,0.22465039025092504,0.2512765409879744,0.7758620689655172,0.7632294065262134,0.7880079370242056
level_weight,xgboost,diabetici,0.2721520364284515,0.265625,0.21527669094275786,0.3229032417568694,1.0,0.9465286634799295,1.0,0.035897435897435895,0.017495563557414013,0.07223149299562964,0.973384030418251,0.9460897162171504,0.9870486390461417
level_weight,xgboost,non diabetici,0.2721520364284515,0.10584677419354839,0.09529743759992573,0.11741235504506417,0.8823529411764706,0.8447910917116028,0.9117738575938941,0.28659517426273456,0.2723095750540244,0.3013198846973756,0.7281624663567409,0.714312927226822,0.7415834986732033
level_weight,xgboost,tutti,0.2721520364284515,0.11850247524752475,0.10781018023930738,0.13010056681603926,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.27414012738853505,0.26041068265289385,0.2883112450239244,0.7429885057471264,0.7297922110252452,0.7557560157520818
