technique,model,group,level,n,mean_probability,low,high,median_probability
none,random_forest,diabetici,alto,11,0.26562023768444704,0.22001402547112195,0.3092606469729886,0.3007644594950884
none,random_forest,diabetici,molto alto,5,0.27186825573767603,0.23475555180886815,0.30390872237733024,0.2705568533848203
none,random_forest,non diabetici,basso,3730,0.0879900532921642,0.0865895896525204,0.08944695731847578,0.0772420655387594
none,random_forest,non diabetici,moderato,302,0.11886393560304423,0.11228144410900838,0.1258145929108595,0.105220153312898
none,random_forest,non diabetici,alto,39,0.1349151317891426,0.11368854979816398,0.15773841716761172,0.1086534003056548
none,random_forest,non diabetici,molto alto,16,0.17062092842586857,0.12491517817664173,0.21987217984158228,0.15878070051887605
none,random_forest,tutti,basso,3925,0.09314154770408906,0.09160778298562978,0.09472400319835837,0.079333454359554
none,random_forest,tutti,moderato,354,0.13673539451908864,0.1289613979865274,0.14442116169069605,0.11727250495084725
none,random_forest,tutti,alto,50,0.16367025508610958,0.13871781843335368,0.18853767650515368,0.15191871484377623
none,random_forest,tutti,molto alto,21,0.19472743492867983,0.150943829651771,0.2351223618225408,0.2108880174249001
none,xgboost,diabetici,basso,195,0.20705721858793344,0.18806693942668154,0.22533077560006995,0.1763555705547332
none,xgboost,diabetici,moderato,52,0.264692155429377,0.22869136578475055,0.301585560451405,0.2512009963393211
none,xgboost,diabetici,alto,11,0.35626382617787883,0.24336218609559263,0.44963826694610437,0.4207727611064911
none,xgboost,diabetici,molto alto,5,0.4343122452497482,0.2650290936231613,0.6097867012023925,0.373809814453125
none,xgboost,non diabetici,basso,3730,0.08293251474587689,0.08075697812752985,0.08516225145563253,0.061616124585270854
none,xgboost,non diabetici,moderato,302,0.1321225145473977,0.12019734505967954,0.14483987252391403,0.09461007639765735
none,xgboost,non diabetici,alto,39,0.17274544072838927,0.12879586393873277,0.22434603179781096,0.1147692054510116
none,xgboost,non diabetici,molto alto,16,0.2991421455517411,0.19863564628758468,0.40533623159280974,0.269897997379303
none,xgboost,tutti,basso,3925,0.08909921977752046,0.08685753986498955,0.09156785640008981,0.0638361424207687
none,xgboost,tutti,moderato,354,0.15159602111763196,0.13974277819085884,0.16428210718470418,0.1078828871250152
none,xgboost,tutti,alto,50,0.213119485527277,0.16458694113790986,0.26297950626164673,0.15080615133047098
none,xgboost,tutti,molto alto,21,0.3313255026226952,0.23581128182510533,0.4246546574513471,0.330983817577362
level_weight,lr_scored,diabetici,basso,195,0.7282449041832367,0.7144272787388858,0.74239872689892,0.7424426371148752
level_weight,lr_scored,diabetici,moderato,52,0.7468816290883098,0.7248783755281587,0.7692877355706287,0.7444945591288396
level_weight,lr_scored,diabetici,alto,11,0.8049283736857151,0.7491348198152884,0.8530812035704,0.8286437473438972
level_weight,lr_scored,diabetici,molto alto,5,0.8807008564809877,0.8426115990859057,0.9046955095279332,0.8924629210476698
level_weight,lr_scored,non diabetici,basso,3730,0.42371276293588817,0.41950591581144975,0.42795589984406485,0.40298415982465874
level_weight,lr_scored,non diabetici,moderato,302,0.4980159595289794,0.4805836248028986,0.5158578144489613,0.4858087512215682
level_weight,lr_scored,non diabetici,alto,39,0.5272621293457511,0.47746763346011195,0.5771813371738693,0.5175407082907191
level_weight,lr_scored,non diabetici,molto alto,16,0.5691227498111262,0.47235748732540445,0.6634965372208586,0.6104125527146371
level_weight,lr_scored,tutti,basso,3925,0.43884238523989655,0.43439433808557354,0.44325387405211664,0.4111698732854646
level_weight,lr_scored,tutti,moderato,354,0.5345724985602934,0.5169321191128202,0.5525967183503414,0.5221368305085083
level_weight,lr_scored,tutti,alto,50,0.5883487031005432,0.53483518984497,0.6398255490111048,0.5595291906996352
level_weight,lr_scored,tutti,molto alto,21,0.6433080133039503,0.5503816359483545,0.7311117314641716,0.6994318014628026
level_weight,lr_penalized,diabetici,basso,195,0.6103821863587744,0.5903341640111837,0.6306099522248796,0.6160504904785891
level_weight,lr_penalized,diabetici,moderato,52,0.6675527735697746,0.6288420418846187,0.7076730550153788,0.6734595629927875
level_weight,lr_penalized,diabetici,alto,11,0.756670238969906,0.6631400310137269,0.8379767555922184,0.7715672600184019
level_weight,lr_penalized,diabetici,molto alto,5,0.7774461597974841,0.7514845103282334,0.8105864775718494,0.7641937602014336
level_weight,lr_penalized,non diabetici,basso,3730,0.41893952195775747,0.41491159772300334,0.4231946041644362,0.40127419032782874
level_weight,lr_penalized,non diabetici,moderato,302,0.5086029784801028,0.4911988014632434,0.5264029668454663,0.47785941992534336
level_weight,lr_penalized,non diabetici,alto,39,0.5362297337732777,0.4946618691081992,0.578832139718423,0.5210317773892227
level_weight,lr_penalized,non diabetici,molto alto,16,0.5958599139354264,0.5012773486571428,0.6888582787330144,0.6471393330690512
level_weight,lr_penalized,tutti,basso,3925,0.42845068617640675,0.4243484877143945,0.4326920614749388,0.4078965161420232
level_weight,lr_penalized,tutti,moderato,354,0.531951535950902,0.515265573188482,0.549915037801044,0.5158423176178228
level_weight,lr_penalized,tutti,alto,50,0.5847266449165359,0.538739744109368,0.6298455599238045,0.5457960343283428
level_weight,lr_penalized,tutti,molto alto,21,0.6390947343787734,0.5533089753405137,0.7145698996978077,0.6658973114237112
level_weight,random_forest,diabetici,basso,195,0.5519639179728391,0.5367609883385259,0.5677074593962151,0.5598115047010706
level_weight,random_forest,diabetici,moderato,52,0.5955294842306146,0.5724130997474072,0.6176163975400639,0.6013778143426002
level_weight,random_forest,diabetici,alto,11,0.6258707447643164,0.5647914249111049,0.6799925095552359,0.6514846210684909
level_weight,random_forest,diabetici,molto alto,5,0.6544622386613993,0.6153981507047159,0.6850785518493152,0.6712126624834495
level_weight,random_forest,non diabetici,basso,3730,0.35058936889346315,0.34681858706389274,0.3544205632811779,0.354923581025525
level_weight,random_forest,non diabetici,moderato,302,0.42194938239110835,0.40774782189070174,0.436460494137722,0.42550929919682123
level_weight,random_forest,non diabetici,alto,39,0.4530558116542514,0.4117885492023228,0.4924349439641217,0.4457815147917051
level_weight,random_forest,non diabetici,molto alto,16,0.5132347488925839,0.42316402226710786,0.5954567366810435,0.5814466128880856
level_weight,random_forest,tutti,basso,3925,0.36059396432543217,0.3568456777396733,0.3645430021616107,0.3624461572026892
level_weight,random_forest,tutti,moderato,354,0.4474470244692279,0.433113002491053,0.4618023147093423,0.45330446751269526
level_weight,random_forest,tutti,alto,50,0.4910750969384657,0.4515261618466497,0.5300353751932209,0.47942025380012243
level_weight,random_forest,tutti,molto alto,21,0.5468603416946829,0.4710879400470683,0.6110205334703269,0.604403288783975
level_weight,xgboost,diabetici,basso,195,0.5959054816227692,0.5720639335039335,0.6195516075996252,0.6301663517951965
level_weight,xgboost,diabetici,moderato,52,0.6560723363206937,0.6186400603216428,0.6921611544031363,0.659495621919632
level_weight,xgboost,diabetici,alto,11,0.7262366712093353,0.6145010090687059,0.8192583759399976,0.8070513606071472
level_weight,xgboost,diabetici,molto alto,5,0.8051087141036988,0.7462001800537109,0.8644334435462951,0.8483055233955383
level_weight,xgboost,non diabetici,basso,3730,0.3757576506425085,0.3708182068640022,0.3809570450054846,0.35002487897872925
level_weight,xgboost,non diabetici,moderato,302,0.4759991134190007,0.45642178910630227,0.4956321723759174,0.4592604786157608
level_weight,xgboost,non diabetici,alto,39,0.5453165972079986,0.4897189228867109,0.6005995327367997,0.5337955355644226
level_weight,xgboost,non diabetici,molto alto,16,0.6294604074209929,0.49523406312800944,0.7510486011160538,0.7074216604232788
level_weight,xgboost,tutti,basso,3925,0.386694931417324,0.3819164078599613,0.3914967540860841,0.3595820665359497
level_weight,xgboost,tutti,moderato,354,0.5024505472915658,0.4840477744722476,0.5207996421288383,0.49445322155952454
level_weight,xgboost,tutti,alto,50,0.5851190134882926,0.5305858340412378,0.6371118098720907,0.5633524358272552
level_weight,xgboost,tutti,molto alto,21,0.6712814328216371,0.5590862716592494,0.7683558054090965,0.742870032787323
