number,value,datetime_start,datetime_complete,duration,params_C,params_l1_ratio,system_attrs_tpe:relative_params:0,state
90,0.2606844709374305,2026-09-19 02:43:13.499177,2026-09-19 02:43:14.860186,0 days 00:00:01.361009,0.008046115206012243,0.03981450666985615,"{""C"": 0.008046115206012243, ""l1_ratio"": 0.03981450666985615}",COMPLETE
91,0.2277875043509432,2026-09-19 02:43:14.860186,2026-09-19 02:43:15.350139,0 days 00:00:00.489953,0.02761646150129447,0.09129812484458322,"{""C"": 0.02761646150129447, ""l1_ratio"": 0.09129812484458322}",PRUNED
92,0.22614428439471249,2026-09-19 02:43:15.350139,2026-09-19 02:43:15.749582,0 days 00:00:00.399443,0.05625782010908428,0.4835441666583399,"{""C"": 0.05625782010908428, ""l1_ratio"": 0.4835441666583399}",PRUNED
93,0.2300274695522786,2026-09-19 02:43:15.749582,2026-09-19 02:43:16.211496,0 days 00:00:00.461914,0.017288528917339813,0.01623210864830031,"{""C"": 0.017288528917339813, ""l1_ratio"": 0.01623210864830031}",PRUNED
94,0.22157255675345075,2026-09-19 02:43:16.211496,2026-09-19 02:43:16.467215,0 days 00:00:00.255719,0.004317637368757939,0.012693213496234465,"{""C"": 0.004317637368757939, ""l1_ratio"": 0.012693213496234465}",PRUNED
95,0.2597072368759753,2026-09-19 02:43:16.467215,2026-09-19 02:43:18.144936,0 days 00:00:01.677721,0.009298027110295348,0.016550346919019385,"{""C"": 0.009298027110295348, ""l1_ratio"": 0.016550346919019385}",COMPLETE
96,0.21748035236431795,2026-09-19 02:43:18.144936,2026-09-19 02:43:18.305145,0 days 00:00:00.160209,0.005671428615546054,0.09551885701612205,"{""C"": 0.005671428615546054, ""l1_ratio"": 0.09551885701612205}",PRUNED
97,0.22337504534333757,2026-09-19 02:43:18.305145,2026-09-19 02:43:18.842861,0 days 00:00:00.537716,0.07478758244120745,0.3707577174303239,"{""C"": 0.07478758244120745, ""l1_ratio"": 0.3707577174303239}",PRUNED
98,0.201358598649504,2026-09-19 02:43:18.842861,2026-09-19 02:43:18.971081,0 days 00:00:00.128220,0.013429618239409812,0.6483736776158449,"{""C"": 0.013429618239409812, ""l1_ratio"": 0.6483736776158449}",PRUNED
99,0.2301834215781189,2026-09-19 02:43:18.971081,2026-09-19 02:43:19.255456,0 days 00:00:00.284375,0.014420763856557094,0.11051140372809229,"{""C"": 0.014420763856557094, ""l1_ratio"": 0.11051140372809229}",PRUNED
