number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_tpe:relative_params:0,state
24,0.25457724519671154,2026-09-19 04:42:39.154872,2026-09-19 04:42:40.910467,0 days 00:00:01.755595,0.6168743943109906,0.02285240288241847,3,336,1.989548957895841,3.6165154837836018,0.6146315156971466,"{""colsample_bytree"": 0.6168743943109906, ""learning_rate"": 0.02285240288241847, ""max_depth"": 3, ""n_estimators"": 336, ""reg_alpha"": 1.989548957895841, ""reg_lambda"": 3.6165154837836018, ""subsample"": 0.6146315156971466}",COMPLETE
25,0.21491545827881764,2026-09-19 04:42:40.910467,2026-09-19 04:42:43.983154,0 days 00:00:03.072687,0.625619539537257,0.028744982195958484,5,699,1.7626334456069206,4.183846344666761,0.7320761545740205,"{""colsample_bytree"": 0.625619539537257, ""learning_rate"": 0.028744982195958484, ""max_depth"": 5, ""n_estimators"": 699, ""reg_alpha"": 1.7626334456069206, ""reg_lambda"": 4.183846344666761, ""subsample"": 0.7320761545740205}",PRUNED
26,0.26202201498599426,2026-09-19 04:42:43.983154,2026-09-19 04:42:46.026477,0 days 00:00:02.043323,0.5739186335523261,0.022101530344886478,3,398,0.6175687224890619,3.8506555477179116,0.6941056536671356,"{""colsample_bytree"": 0.5739186335523261, ""learning_rate"": 0.022101530344886478, ""max_depth"": 3, ""n_estimators"": 398, ""reg_alpha"": 0.6175687224890619, ""reg_lambda"": 3.8506555477179116, ""subsample"": 0.6941056536671356}",COMPLETE
27,0.25495183700990787,2026-09-19 04:42:46.026477,2026-09-19 04:42:49.339963,0 days 00:00:03.313486,0.5312577777220268,0.0144179057500916,4,493,0.8447369537588624,3.8929401550903044,0.7544210932780949,"{""colsample_bytree"": 0.5312577777220268, ""learning_rate"": 0.0144179057500916, ""max_depth"": 4, ""n_estimators"": 493, ""reg_alpha"": 0.8447369537588624, ""reg_lambda"": 3.8929401550903044, ""subsample"": 0.7544210932780949}",COMPLETE
28,0.18903000926739527,2026-09-19 04:42:49.339963,2026-09-19 04:42:49.940329,0 days 00:00:00.600366,0.6181469062780427,0.029731490113014257,4,441,0.9400394423025225,3.849213862391687,0.6635916471071253,"{""colsample_bytree"": 0.6181469062780427, ""learning_rate"": 0.029731490113014257, ""max_depth"": 4, ""n_estimators"": 441, ""reg_alpha"": 0.9400394423025225, ""reg_lambda"": 3.849213862391687, ""subsample"": 0.6635916471071253}",PRUNED
29,0.2593502805355855,2026-09-19 04:42:49.940329,2026-09-19 04:42:51.814616,0 days 00:00:01.874287,0.667378610982887,0.0366004079289855,3,341,1.2891972350977405,4.4223600500024505,0.7002312313869169,"{""colsample_bytree"": 0.667378610982887, ""learning_rate"": 0.0366004079289855, ""max_depth"": 3, ""n_estimators"": 341, ""reg_alpha"": 1.2891972350977405, ""reg_lambda"": 4.4223600500024505, ""subsample"": 0.7002312313869169}",COMPLETE
30,0.1810413916004609,2026-09-19 04:42:51.814616,2026-09-19 04:42:52.087658,0 days 00:00:00.273042,0.7782830169800609,0.010793528311455532,3,225,0.7951300349148863,3.7857885505593822,0.7466711707400246,"{""colsample_bytree"": 0.7782830169800609, ""learning_rate"": 0.010793528311455532, ""max_depth"": 3, ""n_estimators"": 225, ""reg_alpha"": 0.7951300349148863, ""reg_lambda"": 3.7857885505593822, ""subsample"": 0.7466711707400246}",PRUNED
31,0.18861458188395647,2026-09-19 04:42:52.087658,2026-09-19 04:42:52.326689,0 days 00:00:00.239031,0.6053189755801037,0.016455877521573143,3,243,0.8530075265166869,4.573976231466618,0.7313906674096182,"{""colsample_bytree"": 0.6053189755801037, ""learning_rate"": 0.016455877521573143, ""max_depth"": 3, ""n_estimators"": 243, ""reg_alpha"": 0.8530075265166869, ""reg_lambda"": 4.573976231466618, ""subsample"": 0.7313906674096182}",PRUNED
32,0.2584668959961546,2026-09-19 04:42:52.326689,2026-09-19 04:42:54.410605,0 days 00:00:02.083916,0.7034074549312511,0.029539265330956764,3,418,0.2969382433764849,4.774520490310845,0.6873065666578173,"{""colsample_bytree"": 0.7034074549312511, ""learning_rate"": 0.029539265330956764, ""max_depth"": 3, ""n_estimators"": 418, ""reg_alpha"": 0.2969382433764849, ""reg_lambda"": 4.774520490310845, ""subsample"": 0.6873065666578173}",COMPLETE
33,0.18759615548808117,2026-09-19 04:42:54.411609,2026-09-19 04:42:54.868747,0 days 00:00:00.457138,0.690155591398201,0.016937577762271772,3,417,2.1038050265233563,4.745938435082633,0.6788778167122838,"{""colsample_bytree"": 0.690155591398201, ""learning_rate"": 0.016937577762271772, ""max_depth"": 3, ""n_estimators"": 417, ""reg_alpha"": 2.1038050265233563, ""reg_lambda"": 4.745938435082633, ""subsample"": 0.6788778167122838}",PRUNED
34,0.22091073428065433,2026-09-19 04:42:54.868747,2026-09-19 04:42:55.507516,0 days 00:00:00.638769,0.593413000030865,0.018928996243362195,4,224,0.2736082614165123,3.8893769257126882,0.6735063210732046,"{""colsample_bytree"": 0.593413000030865, ""learning_rate"": 0.018928996243362195, ""max_depth"": 4, ""n_estimators"": 224, ""reg_alpha"": 0.2736082614165123, ""reg_lambda"": 3.8893769257126882, ""subsample"": 0.6735063210732046}",PRUNED
35,0.19168680238207686,2026-09-19 04:42:55.507516,2026-09-19 04:42:56.062274,0 days 00:00:00.554758,0.5942734197935894,0.0190263879204342,4,417,0.4651437575876191,4.477750211091733,0.7350431307724347,"{""colsample_bytree"": 0.5942734197935894, ""learning_rate"": 0.0190263879204342, ""max_depth"": 4, ""n_estimators"": 417, ""reg_alpha"": 0.4651437575876191, ""reg_lambda"": 4.477750211091733, ""subsample"": 0.7350431307724347}",PRUNED
36,0.2586078751150541,2026-09-19 04:42:56.062274,2026-09-19 04:42:57.714711,0 days 00:00:01.652437,0.5985407436334708,0.02401408525681054,3,333,1.9268381672893744,4.570051327732795,0.7472475839107279,"{""colsample_bytree"": 0.5985407436334708, ""learning_rate"": 0.02401408525681054, ""max_depth"": 3, ""n_estimators"": 333, ""reg_alpha"": 1.9268381672893744, ""reg_lambda"": 4.570051327732795, ""subsample"": 0.7472475839107279}",COMPLETE
37,0.26703854318464487,2026-09-19 04:42:57.714711,2026-09-19 04:42:58.928458,0 days 00:00:01.213747,0.6921632632786322,0.03056073954425217,3,222,1.5846182916996168,4.893534578515462,0.7055209992380692,"{""colsample_bytree"": 0.6921632632786322, ""learning_rate"": 0.03056073954425217, ""max_depth"": 3, ""n_estimators"": 222, ""reg_alpha"": 1.5846182916996168, ""reg_lambda"": 4.893534578515462, ""subsample"": 0.7055209992380692}",COMPLETE
38,0.17928510298387734,2026-09-19 04:42:58.928458,2026-09-19 04:42:59.471099,0 days 00:00:00.542641,0.6913984389476572,0.01718372544285998,5,236,0.6529683604552875,4.434673326050794,0.6715789372382698,"{""colsample_bytree"": 0.6913984389476572, ""learning_rate"": 0.01718372544285998, ""max_depth"": 5, ""n_estimators"": 236, ""reg_alpha"": 0.6529683604552875, ""reg_lambda"": 4.434673326050794, ""subsample"": 0.6715789372382698}",PRUNED
39,0.19152008297101966,2026-09-19 04:42:59.471099,2026-09-19 04:42:59.995506,0 days 00:00:00.524407,0.6907763189198906,0.014213872071040485,3,487,0.6565816264180813,3.5965318430422055,0.7250172438969766,"{""colsample_bytree"": 0.6907763189198906, ""learning_rate"": 0.014213872071040485, ""max_depth"": 3, ""n_estimators"": 487, ""reg_alpha"": 0.6565816264180813, ""reg_lambda"": 3.5965318430422055, ""subsample"": 0.7250172438969766}",PRUNED
40,0.18830790716004145,2026-09-19 04:42:59.995506,2026-09-19 04:43:00.703360,0 days 00:00:00.707854,0.5916855789242778,0.017820548537921803,4,485,1.0797572104257591,4.903185915770857,0.705937386704098,"{""colsample_bytree"": 0.5916855789242778, ""learning_rate"": 0.017820548537921803, ""max_depth"": 4, ""n_estimators"": 485, ""reg_alpha"": 1.0797572104257591, ""reg_lambda"": 4.903185915770857, ""subsample"": 0.705937386704098}",PRUNED
41,0.2559821608471149,2026-09-19 04:43:00.703360,2026-09-19 04:43:02.443118,0 days 00:00:01.739758,0.6930566450079059,0.027851377733858255,4,221,1.3045660512284742,4.653631464813042,0.7031805423422314,"{""colsample_bytree"": 0.6930566450079059, ""learning_rate"": 0.027851377733858255, ""max_depth"": 4, ""n_estimators"": 221, ""reg_alpha"": 1.3045660512284742, ""reg_lambda"": 4.653631464813042, ""subsample"": 0.7031805423422314}",COMPLETE
42,0.25670450403967743,2026-09-19 04:43:02.443118,2026-09-19 04:43:04.334789,0 days 00:00:01.891671,0.5803683458527619,0.03714292846774608,3,366,1.521596069884497,4.560156154442115,0.7128496643160165,"{""colsample_bytree"": 0.5803683458527619, ""learning_rate"": 0.03714292846774608, ""max_depth"": 3, ""n_estimators"": 366, ""reg_alpha"": 1.521596069884497, ""reg_lambda"": 4.560156154442115, ""subsample"": 0.7128496643160165}",COMPLETE
43,0.26184163857265375,2026-09-19 04:43:04.334789,2026-09-19 04:43:05.673393,0 days 00:00:01.338604,0.6829228793336408,0.03970790210146906,3,248,1.6581303723336627,4.220001801930883,0.7295018493156568,"{""colsample_bytree"": 0.6829228793336408, ""learning_rate"": 0.03970790210146906, ""max_depth"": 3, ""n_estimators"": 248, ""reg_alpha"": 1.6581303723336627, ""reg_lambda"": 4.220001801930883, ""subsample"": 0.7295018493156568}",COMPLETE
44,0.26494399516234257,2026-09-19 04:43:05.673393,2026-09-19 04:43:07.434911,0 days 00:00:01.761518,0.7438109608953627,0.02752313502704962,3,313,0.8999406050428825,4.128060465084415,0.7135782090894711,"{""colsample_bytree"": 0.7438109608953627, ""learning_rate"": 0.02752313502704962, ""max_depth"": 3, ""n_estimators"": 313, ""reg_alpha"": 0.8999406050428825, ""reg_lambda"": 4.128060465084415, ""subsample"": 0.7135782090894711}",COMPLETE
45,0.19656931406753436,2026-09-19 04:43:07.434911,2026-09-19 04:43:07.665276,0 days 00:00:00.230365,0.6318206761654311,0.03152803582397278,3,220,1.3514351896167367,3.6901141535473405,0.7511423105808211,"{""colsample_bytree"": 0.6318206761654311, ""learning_rate"": 0.03152803582397278, ""max_depth"": 3, ""n_estimators"": 220, ""reg_alpha"": 1.3514351896167367, ""reg_lambda"": 3.6901141535473405, ""subsample"": 0.7511423105808211}",PRUNED
46,0.22601414712598064,2026-09-19 04:43:07.665276,2026-09-19 04:43:08.232669,0 days 00:00:00.567393,0.7555659904113902,0.023875197022095167,3,256,1.1570354686136315,4.942882917568748,0.7290129885442649,"{""colsample_bytree"": 0.7555659904113902, ""learning_rate"": 0.023875197022095167, ""max_depth"": 3, ""n_estimators"": 256, ""reg_alpha"": 1.1570354686136315, ""reg_lambda"": 4.942882917568748, ""subsample"": 0.7290129885442649}",PRUNED
47,0.19032473200055294,2026-09-19 04:43:08.232669,2026-09-19 04:43:08.498258,0 days 00:00:00.265589,0.6226333692418107,0.029376637555649544,3,237,1.460463626510551,4.903435916310953,0.6394787477417121,"{""colsample_bytree"": 0.6226333692418107, ""learning_rate"": 0.029376637555649544, ""max_depth"": 3, ""n_estimators"": 237, ""reg_alpha"": 1.460463626510551, ""reg_lambda"": 4.903435916310953, ""subsample"": 0.6394787477417121}",PRUNED
48,0.2622634094751961,2026-09-19 04:43:08.498258,2026-09-19 04:43:10.444758,0 days 00:00:01.946500,0.7111756358551292,0.031787357348063254,3,381,0.5157204605687964,3.694786069024566,0.6972879352261138,"{""colsample_bytree"": 0.7111756358551292, ""learning_rate"": 0.031787357348063254, ""max_depth"": 3, ""n_estimators"": 381, ""reg_alpha"": 0.5157204605687964, ""reg_lambda"": 3.694786069024566, ""subsample"": 0.6972879352261138}",COMPLETE
49,0.19514119637849492,2026-09-19 04:43:10.444758,2026-09-19 04:43:10.754380,0 days 00:00:00.309622,0.7144266748467746,0.018441267094306765,3,315,1.0482905688049782,4.300408442284156,0.7276885245150032,"{""colsample_bytree"": 0.7144266748467746, ""learning_rate"": 0.018441267094306765, ""max_depth"": 3, ""n_estimators"": 315, ""reg_alpha"": 1.0482905688049782, ""reg_lambda"": 4.300408442284156, ""subsample"": 0.7276885245150032}",PRUNED
