technique,model,level,band,n
oversampling,lr_penalized,molto alto,3,2
oversampling,lr_penalized,molto alto,4,1
oversampling,random_forest,basso,1,3614
oversampling,random_forest,basso,2,267
oversampling,random_forest,basso,3,32
oversampling,random_forest,basso,4,12
oversampling,random_forest,moderato,1,266
oversampling,random_forest,moderato,2,75
oversampling,random_forest,moderato,3,8
oversampling,random_forest,moderato,4,5
oversampling,random_forest,alto,1,35
oversampling,random_forest,alto,2,5
oversampling,random_forest,alto,3,8
oversampling,random_forest,alto,4,2
oversampling,random_forest,molto alto,1,10
oversampling,random_forest,molto alto,2,7
oversampling,random_forest,molto alto,3,2
oversampling,random_forest,molto alto,4,2
oversampling,xgboost,basso,1,3624
oversampling,xgboost,basso,2,260
oversampling,xgboost,basso,3,32
oversampling,xgboost,basso,4,9
oversampling,xgboost,moderato,1,262
oversampling,xgboost,moderato,2,76
oversampling,xgboost,moderato,3,9
oversampling,xgboost,moderato,4,7
oversampling,xgboost,alto,1,31
oversampling,xgboost,alto,2,12
oversampling,xgboost,alto,3,5
oversampling,xgboost,alto,4,2
oversampling,xgboost,molto alto,1,8
oversampling,xgboost,molto alto,2,6
oversampling,xgboost,molto alto,3,4
oversampling,xgboost,molto alto,4,3
smote_nc,lr_scored,basso,1,3606
smote_nc,lr_scored,basso,2,275
smote_nc,lr_scored,basso,3,33
smote_nc,lr_scored,basso,4,11
smote_nc,lr_scored,moderato,1,276
smote_nc,lr_scored,moderato,2,61
smote_nc,lr_scored,moderato,3,12
smote_nc,lr_scored,moderato,4,5
smote_nc,lr_scored,alto,1,33
smote_nc,lr_scored,alto,2,12
smote_nc,lr_scored,alto,3,3
smote_nc,lr_scored,alto,4,2
smote_nc,lr_scored,molto alto,1,10
smote_nc,lr_scored,molto alto,2,6
smote_nc,lr_scored,molto alto,3,2
smote_nc,lr_scored,molto alto,4,3
smote_nc,lr_penalized,basso,1,3617
smote_nc,lr_penalized,basso,2,263
smote_nc,lr_penalized,basso,3,33
smote_nc,lr_penalized,basso,4,12
smote_nc,lr_penalized,moderato,1,267
smote_nc,lr_penalized,moderato,2,68
smote_nc,lr_penalized,moderato,3,12
smote_nc,lr_penalized,moderato,4,7
smote_nc,lr_penalized,alto,1,32
smote_nc,lr_penalized,alto,2,12
smote_nc,lr_penalized,alto,3,4
smote_nc,lr_penalized,alto,4,2
smote_nc,lr_penalized,molto alto,1,9
smote_nc,lr_penalized,molto alto,2,11
smote_nc,lr_penalized,molto alto,3,1
smote_nc,lr_penalized,molto alto,4,0
smote_nc,random_forest,basso,1,3608
smote_nc,random_forest,basso,2,271
smote_nc,random_forest,basso,3,33
smote_nc,random_forest,basso,4,13
smote_nc,random_forest,moderato,1,271
smote_nc,random_forest,moderato,2,66
smote_nc,random_forest,moderato,3,13
smote_nc,random_forest,moderato,4,4
smote_nc,random_forest,alto,1,35
smote_nc,random_forest,alto,2,9
smote_nc,random_forest,alto,3,4
smote_nc,random_forest,alto,4,2
smote_nc,random_forest,molto alto,1,11
smote_nc,random_forest,molto alto,2,8
smote_nc,random_forest,molto alto,3,0
smote_nc,random_forest,molto alto,4,2
smote_nc,xgboost,basso,1,3619
smote_nc,xgboost,basso,2,260
smote_nc,xgboost,basso,3,36
smote_nc,xgboost,basso,4,10
smote_nc,xgboost,moderato,1,270
smote_nc,xgboost,moderato,2,68
smote_nc,xgboost,moderato,3,11
smote_nc,xgboost,moderato,4,5
smote_nc,xgboost,alto,1,30
smote_nc,xgboost,alto,2,14
smote_nc,xgboost,alto,3,3
smote_nc,xgboost,alto,4,3
smote_nc,xgboost,molto alto,1,6
smote_nc,xgboost,molto alto,2,12
smote_nc,xgboost,molto alto,3,0
smote_nc,xgboost,molto alto,4,3
smote_nc_level,lr_scored,basso,1,3603
smote_nc_level,lr_scored,basso,2,277
smote_nc_level,lr_scored,basso,3,33
smote_nc_level,lr_scored,basso,4,12
smote_nc_level,lr_scored,moderato,1,277
smote_nc_level,lr_scored,moderato,2,59
smote_nc_level,lr_scored,moderato,3,14
smote_nc_level,lr_scored,moderato,4,4
smote_nc_level,lr_scored,alto,1,34
smote_nc_level,lr_scored,alto,2,12
smote_nc_level,lr_scored,alto,3,1
smote_nc_level,lr_scored,alto,4,3
smote_nc_level,lr_scored,molto alto,1,11
smote_nc_level,lr_scored,molto alto,2,6
smote_nc_level,lr_scored,molto alto,3,2
smote_nc_level,lr_scored,molto alto,4,2
smote_nc_level,lr_penalized,basso,1,3624
smote_nc_level,lr_penalized,basso,2,261
smote_nc_level,lr_penalized,basso,3,26
smote_nc_level,lr_penalized,basso,4,14
smote_nc_level,lr_penalized,moderato,1,257
smote_nc_level,lr_penalized,moderato,2,75
smote_nc_level,lr_penalized,moderato,3,15
smote_nc_level,lr_penalized,moderato,4,7
smote_nc_level,lr_penalized,alto,1,33
smote_nc_level,lr_penalized,alto,2,12
smote_nc_level,lr_penalized,alto,3,5
smote_nc_level,lr_penalized,alto,4,0
smote_nc_level,lr_penalized,molto alto,1,11
smote_nc_level,lr_penalized,molto alto,2,6
smote_nc_level,lr_penalized,molto alto,3,4
smote_nc_level,lr_penalized,molto alto,4,0
smote_nc_level,random_forest,basso,1,3607
smote_nc_level,random_forest,basso,2,268
smote_nc_level,random_forest,basso,3,37
smote_nc_level,random_forest,basso,4,13
smote_nc_level,random_forest,moderato,1,273
smote_nc_level,random_forest,moderato,2,66
