technique,model,probabilities,intercept,slope,brier,mean_probability,prevalence
class_weight,random_forest,ricalibrata,-0.007703091663328918,0.970848992203258,0.08275708023481072,0.09834003659825662,0.09770114942528736
class_weight,xgboost,grezza,-2.0525746323781324,0.8521727812364703,0.1890767779767801,0.40153029463585765,0.09770114942528736
class_weight,xgboost,ricalibrata,-0.027431039302585617,0.9862734301543665,0.08288445562579794,0.10000842758519812,0.09770114942528736
level_weight,dummy,grezza,-2.2230324612920693,,0.2499999999999952,0.49999999999999417,0.09770114942528736
level_weight,dummy,ricalibrata,7.530407366500059e-16,,0.08815563482626504,0.0977011494252873,0.09770114942528736
level_weight,lr_scored,grezza,-2.198815694790302,0.9559610135744618,0.21498043846236492,0.44933837471065474,0.09770114942528736
level_weight,lr_scored,ricalibrata,0.0014005713172604466,1.0174915383424592,0.08340686969757682,0.09758389344881845,0.09770114942528736
level_weight,lr_penalized,grezza,-2.141384544246691,1.0740057488843056,0.20487544897301313,0.43968669164064295,0.09770114942528736
level_weight,lr_penalized,ricalibrata,-0.0014535408057389358,0.9559512315629484,0.08233501171633671,0.09781996593328278,0.09770114942528736
level_weight,random_forest,grezza,-1.7883181019104415,1.2542966769217465,0.16263916124063565,0.37006100658895164,0.09770114942528736
level_weight,random_forest,ricalibrata,-0.00874661373181392,0.9467351505672275,0.08252935314362772,0.09842290293970551,0.09770114942528736
level_weight,xgboost,grezza,-2.020513109037949,0.9443084740269081,0.18495877740175082,0.39976964605008736,0.09770114942528736
level_weight,xgboost,ricalibrata,-0.02329122564365043,0.998046184622648,0.08222669170298594,0.09964451213658858,0.09770114942528736
undersampling,dummy,grezza,-2.2230324612920933,,0.25,0.5,0.09770114942528736
undersampling,dummy,ricalibrata,7.530407366500059e-16,,0.08815563482626504,0.0977011494252873,0.09770114942528736
undersampling,lr_scored,grezza,-2.225582782769888,0.9862413610749751,0.22025634415252948,0.4580645134596639,0.09770114942528736
undersampling,lr_scored,ricalibrata,0.018586746295284572,1.0645910272798917,0.08317755897511048,0.0961504258182575,0.09770114942528736
undersampling,lr_penalized,grezza,-2.223374764829654,0.9190569134611165,0.2176291334203501,0.45591879054251,0.09770114942528736
undersampling,lr_penalized,ricalibrata,-0.014495712495688418,0.8926856387345368,0.08339835286205836,0.09888940419263365,0.09770114942528736
undersampling,random_forest,grezza,-2.177414530118874,1.512837588117465,0.22174682676554294,0.4657253969284752,0.09770114942528736
undersampling,random_forest,ricalibrata,-0.015089182894189805,0.8990711402682211,0.08333150602135365,0.09894544771530733,0.09770114942528736
undersampling,xgboost,grezza,-2.3091816689157088,0.7210438066546615,0.2240156831241652,0.44773645867133277,0.09770114942528736
undersampling,xgboost,ricalibrata,0.005471454924374298,0.9230007692176473,0.08420035150812046,0.09724535829439357,0.09770114942528736
oversampling,dummy,grezza,-2.2230324612920933,,0.25,0.5,0.09770114942528736
oversampling,dummy,ricalibrata,7.530407366500059e-16,,0.08815563482626504,0.0977011494252873,0.09770114942528736
oversampling,lr_scored,grezza,-2.215365638676672,1.0020236261383832,0.22010135967617306,0.45779437846620996,0.09770114942528736
oversampling,lr_scored,ricalibrata,0.0018210618258242522,1.0184157794140771,0.08355562378126437,0.09754846660168853,0.09770114942528736
oversampling,lr_penalized,grezza,-2.180112521475511,0.9369437319926148,0.21035639195985234,0.44358639165876085,0.09770114942528736
oversampling,lr_penalized,ricalibrata,0.0021983632862258946,0.8973503644924679,0.08350921159519786,0.09752100387485527,0.09770114942528736
oversampling,random_forest,grezza,-1.5591496719537825,1.008622302385704,0.1395687082960424,0.3191666581067056,0.09770114942528736
oversampling,random_forest,ricalibrata,-0.02091909614942005,0.9517481134492001,0.08283721193738487,0.09944300471012187,0.09770114942528736
oversampling,xgboost,grezza,-2.025765326747947,0.873727515734361,0.18736610797317277,0.4008514866481225,0.09770114942528736
oversampling,xgboost,ricalibrata,-0.03800501732583399,0.9603537340297812,0.0830483686350705,0.10089856803645873,0.09770114942528736
smote_nc,dummy,grezza,-2.2230324612920933,,0.25,0.5,0.09770114942528736
