technique,model,auc,auc_low,auc_high,pr_auc,pr_auc_low,pr_auc_high,prevalence,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high,auc_folds_mean,pr_auc_folds_mean
smote_nc,random_forest,0.6691243162233045,0.6412775753721802,0.6969710570744287,0.19783400426051884,0.1626634799462575,0.23844350083751945,0.09770114942528736,0.1287380679329327,0.11149927219796216,0.10140452379566209,0.12246199289007695,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22242038216560509,0.20968499790652773,0.23569857818359463,0.7896551724137931,0.7772910257464603,0.8015081849814796,0.6701925814911952,0.21079085311317405
smote_nc,xgboost,0.6710042712626452,0.6425079484730842,0.6995005940522061,0.20790630471486482,0.17194994729520383,0.24911943557078536,0.09770114942528736,0.0204274430871009,0.11062969381860197,0.10060945403147792,0.121513071758448,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.21554140127388535,0.20295873898296116,0.2286803272902115,0.7958620689655173,0.7836254678141779,0.8075765831436463,0.690074185088048,0.21913338634877802
smote_nc_level,dummy,0.5,0.5,0.5,0.09770114942528736,0.07288209060905701,0.1297888359353495,0.09770114942528736,,,,,,,,,,,,,,0.5,0.09770114942528736
smote_nc_level,lr_scored,0.6647478456350692,0.6360757000569808,0.6934199912131576,0.2049562060697611,0.16922627394584855,0.24599625979205647,0.09770114942528736,0.3269172191391758,0.10914790538614991,0.09925478889680735,0.11989585249853184,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2035668789808917,0.19126285212503555,0.2164505859482617,0.8066666666666666,0.7946625864355811,0.8181295938113012,0.6674215061820907,0.22166373728545205
smote_nc_level,lr_penalized,0.6842406893967777,0.6559137863497514,0.7125675924438041,0.22472363605920398,0.18753298931065096,0.2668671682776991,0.09770114942528736,0.3526902894038139,0.1129127358490566,0.10269702359088884,0.12400421324719493,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.23337579617834395,0.22040772370256503,0.24686525691084757,0.7797701149425287,0.7672114990959326,0.7918350401547837,0.6847748220307232,0.24039566122381095
smote_nc_level,random_forest,0.6678911952041964,0.639902031929944,0.6958803584784488,0.19580730987304973,0.16079934406663088,0.23629092914263147,0.09770114942528736,0.117857526528479,0.11385255648038049,0.10355651534405358,0.12502949983323655,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2405095541401274,0.22739665891444386,0.2541298874350647,0.7733333333333333,0.7606535924213811,0.7855307421464923,0.6751172723866616,0.21146598457866314
smote_nc_level,xgboost,0.6731461970775572,0.6447091805784564,0.701583213576658,0.21202591043691027,0.17575841984234708,0.25347569875740994,0.09770114942528736,0.0238293670117855,0.11146682188591385,0.10137485270823339,0.12242658350232512,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2221656050955414,0.20943578457180737,0.2354387355991687,0.7898850574712644,0.7775255586051795,0.801733016575719,0.6887673285874859,0.22100721357726877
ctgan,dummy,0.5,0.5,0.5,0.09770114942528736,0.07288209060905701,0.1297888359353495,0.09770114942528736,,,,,,,,,,,,,,0.5,0.09770114942528736
ctgan,lr_scored,0.5692346197077557,0.5388877913404965,0.5995814480750149,0.1366612738813395,0.1071599131743604,0.1727133240578242,0.09770114942528736,0.2633445222459407,0.10039318479685452,0.09125519660306738,0.11033512002097773,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.12560509554140128,0.11560199126721045,0.13634033554732364,0.8770114942528736,0.866917745658861,0.8864399571933781,0.5716972648932185,0.14977921198119706
ctgan,lr_penalized,0.5742279505432747,0.5438877695176564,0.604568131568893,0.14466448004787025,0.11432034459911486,0.181413132568906,0.09770114942528736,0.101985498909271,0.10172642762284197,0.09247299552880892,0.1117917545892777,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.138343949044586,0.1278957713673964,0.1494993514044519,0.8655172413793103,0.8550555619489603,0.8753339182553447,0.5833855376545523,0.15767478285231
