technique,model,target_sensitivity,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high
undersampling,lr_penalized,0.95,0.29012856504424,0.10412371134020619,0.09490187404800847,0.11412866116524019,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.11439490445859872,0.10481213293478975,0.12473173343730778,0.8919540229885058,0.8823805161439693,0.9008358761505841
undersampling,random_forest,0.8,0.4334250727959782,0.136986301369863,0.12401931278932087,0.15107524579331486,0.8,0.7593592358943103,0.8352661081693097,0.4542675159235669,0.4387431360658905,0.4698813264473513,0.5705747126436782,0.5558091120598886,0.5852157749984269
undersampling,random_forest,0.85,0.3995665916619559,0.12135434126718068,0.11012067654745784,0.13356197914598175,0.851764705882353,0.8148357311181423,0.8823916330976317,0.33222929936305734,0.3176642654499495,0.3471224117922218,0.6857471264367816,0.6717932447423339,0.6993732332482815
undersampling,random_forest,0.9,0.3747977709855539,0.11436249626754255,0.10402290297404991,0.12558576426411797,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.2443312101910828,0.23114283447768455,0.2580195506590183,0.7698850574712643,0.7571421584283431,0.78215170934515
undersampling,random_forest,0.95,0.343557185905053,0.10889487870619946,0.09927271491859903,0.11932613153794545,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.15770700636942675,0.14664023554791325,0.1694431370790527,0.8528735632183908,0.8420355838920355,0.8630888513995421
undersampling,xgboost,0.8,0.3477808833122253,0.12186379928315412,0.11024245756472653,0.13452499574286014,0.8,0.7593592358943103,0.8352661081693097,0.37579617834394907,0.3607726226686413,0.3910626167475447,0.6413793103448275,0.6270082203135889,0.6555009182560008
undersampling,xgboost,0.85,0.3287183940410614,0.12209106239460371,0.11079326469704733,0.13436683189828008,0.851764705882353,0.8148357311181423,0.8823916330976317,0.33681528662420385,0.3221955270964952,0.35175415669030924,0.6816091954022988,0.6676104633146436,0.6952874545227155
undersampling,xgboost,0.9,0.2884023487567901,0.11470500149745433,0.10433616935981949,0.12595936463546695,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.24687898089171975,0.23364108460188004,0.2606118597262857,0.7675862068965518,0.7548018605207402,0.7798983627231663
undersampling,xgboost,0.95,0.2393138408660888,0.10701986754966887,0.09755478670561767,0.11728393242764142,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.14114649681528663,0.1306046608969244,0.15239007698553303,0.867816091954023,0.8574259367665579,0.877557187967334
oversampling,lr_scored,0.8,0.3880774666726588,0.1241782322863404,0.11234950678610224,0.13706004846762285,0.8,0.7593592358943103,0.8352661081693097,0.38904458598726116,0.3739079383235729,0.4043982088882199,0.6294252873563219,0.6149649381935998,0.6436572488221384
oversampling,lr_scored,0.85,0.3487811347430026,0.11077111383108935,0.10046435177956264,0.12199186071767676,0.851764705882353,0.8148357311181423,0.8823916330976317,0.25961783439490443,0.2461416882608846,0.2735640520245953,0.751264367816092,0.7382004003623245,0.7638849467215153
oversampling,lr_scored,0.9,0.3295180388278747,0.10846785613140754,0.09863314810646384,0.11915355259539204,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.19796178343949045,0.1857940059976513,0.21072020185442766,0.8117241379310345,0.7998336736107186,0.8230645246012549
oversampling,lr_scored,0.95,0.2887992763907024,0.10132932029094557,0.09234288203909902,0.11108325432779032,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.08713375796178344,0.07870934324389714,0.09636553977954787,0.9165517241379311,0.9079611397330102,0.9244072490281224
oversampling,lr_penalized,0.8,0.400097585809661,0.13328106624852998,0.12064172169239455,0.14702320775350258,0.8,0.7593592358943103,0.8352661081693097,0.43668789808917197,0.42124095839718484,0.45225864569496327,0.5864367816091954,0.5717320358229598,0.6009889984895047
oversampling,lr_penalized,0.85,0.3661313716964742,0.12090848363393454,0.10971365645787284,0.1330748528140671,0.851764705882353,0.8148357311181423,0.8823916330976317,0.3294267515923567,0.31489593372142155,0.34429112841014065,0.6882758620689655,0.6743500131187418,0.7018694738544192
oversampling,lr_penalized,0.9,0.3282542776097698,0.11228378774552918,0.10212187824357394,0.12331800472146323,0.9011764705882352,0.8691105709655115,0.9260550852136825,0.22853503184713375,0.21566821149272905,0.24193270665690417,0.7841379310344827,0.7716639578800644,0.796110505976867
oversampling,lr_penalized,0.95,0.2812716989667194,0.10631578947368421,0.09690977472165603,0.1165169591760258,0.9505882352941176,0.9256464830084783,0.9674574651341354,0.13477707006369427,0.12445025111406015,0.14581808878974012,0.8735632183908046,0.863356332564282,0.8831109034935768
oversampling,random_forest,0.8,0.2554556170210922,0.12363636363636364,0.1118561456542426,0.13646659515943613,0.8,0.7593592358943103,0.8352661081693097,0.38598726114649684,0.3708756535087443,0.4013218226732931,0.632183908045977,0.6177433148290071,0.6463912456222353
