technique,model,level,mean_probability,low,high
level_weight,lr_penalized,basso,0.09101162887296262,0.08895942126575115,0.09318099903231991
level_weight,lr_penalized,moderato,0.1510852672056293,0.13865312853127984,0.16432357486170507
level_weight,lr_penalized,alto,0.1960136902727171,0.15371379932013396,0.24407784173610886
level_weight,lr_penalized,molto alto,0.23863520852253264,0.17723237328932243,0.2997101455947279
level_weight,random_forest,basso,0.09200131972702043,0.08985506094315635,0.09416480781290464
level_weight,random_forest,moderato,0.14831794216221542,0.13825110684827913,0.1584667284331623
level_weight,random_forest,alto,0.18402470456316444,0.1512926605294268,0.21748620344012842
level_weight,random_forest,molto alto,0.25374576693244333,0.1962959439149829,0.3084556567403512
level_weight,xgboost,basso,0.09326505315799792,0.09129947583442023,0.09531050195390534
level_weight,xgboost,moderato,0.14435383190166817,0.13486940172130552,0.15416169119867107
level_weight,xgboost,alto,0.20212610169010314,0.16404320138791825,0.24186990497820104
level_weight,xgboost,molto alto,0.29432059863441795,0.2162380627569364,0.3706016025647223
undersampling,dummy,basso,0.0977011494252873,0.0977011494252873,0.0977011494252873
undersampling,dummy,moderato,0.0977011494252873,0.0977011494252873,0.0977011494252873
undersampling,dummy,alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
undersampling,dummy,molto alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
undersampling,lr_scored,basso,0.09114675873369883,0.0894507618319478,0.09290725732850852
undersampling,lr_scored,moderato,0.133937276651595,0.12511862778944316,0.14353940129116197
undersampling,lr_scored,alto,0.16452549891625673,0.13325730318882437,0.19785410583388402
undersampling,lr_scored,molto alto,0.23158349519879792,0.16315243731686813,0.3052130638068242
undersampling,lr_penalized,basso,0.09253689155802726,0.09041492194247704,0.09490794598229896
undersampling,lr_penalized,moderato,0.1515376862614872,0.1389328289454055,0.16546242906485023
undersampling,lr_penalized,alto,0.18844148055781093,0.14587252584598479,0.2374259724738615
undersampling,lr_penalized,molto alto,0.1854854242020209,0.13888157411494448,0.2370110846913873
undersampling,random_forest,basso,0.09280751730902743,0.09068173636685085,0.095033948753485
undersampling,random_forest,moderato,0.149869857463295,0.13913683614060798,0.16110279032366137
undersampling,random_forest,alto,0.17128948461309842,0.14021937099234674,0.20236379408107727
undersampling,random_forest,molto alto,0.21546611195204377,0.16676381393528875,0.2663610041246816
undersampling,xgboost,basso,0.09247587886085812,0.09056106732215577,0.09443560138611236
undersampling,xgboost,moderato,0.1342251825737386,0.12588052771516994,0.14272127727578224
undersampling,xgboost,alto,0.1644341159578649,0.13540081960851047,0.19434008116160387
undersampling,xgboost,molto alto,0.20533636298796207,0.16042365103300588,0.24616321718140358
oversampling,dummy,basso,0.0977011494252873,0.0977011494252873,0.0977011494252873
oversampling,dummy,moderato,0.0977011494252873,0.0977011494252873,0.0977011494252873
oversampling,dummy,alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
oversampling,dummy,molto alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
oversampling,lr_scored,basso,0.09264629633694807,0.09085155730064517,0.0944367918664727
oversampling,lr_scored,moderato,0.13465961077869615,0.126137894252158,0.14386972812799967
oversampling,lr_scored,alto,0.17008046064891388,0.13970978300356282,0.201726306206238
oversampling,lr_scored,molto alto,0.21550434984379999,0.15525386975421965,0.2793038155259957
oversampling,lr_penalized,basso,0.09154898540519706,0.08952530578876372,0.09373077186461806
oversampling,lr_penalized,moderato,0.14342723748783728,0.13191791391194221,0.1556225583748564
oversampling,lr_penalized,alto,0.19242013096236582,0.15422999599511647,0.2336478686948201
oversampling,lr_penalized,molto alto,0.21392145340044272,0.16364550883611045,0.2630359645608678
oversampling,random_forest,basso,0.09335491679138681,0.09130150109557916,0.09553520385607556
oversampling,random_forest,moderato,0.14699765481946866,0.13726703113949337,0.15689348102211292
oversampling,random_forest,alto,0.1841257129251145,0.15105277813725643,0.2169294884080418
oversampling,random_forest,molto alto,0.23407460145187176,0.1779900385356648,0.28754619764593964
oversampling,xgboost,basso,0.09505217938647348,0.09305534289310066,0.09707522654573435
oversampling,xgboost,moderato,0.1446237065894119,0.1349512877514081,0.15479922608517288
oversampling,xgboost,alto,0.18393113472621575,0.1503771898134826,0.2184090449558533
oversampling,xgboost,molto alto,0.25883895227259945,0.19130682473875543,0.32547137724954184
smote_nc,dummy,basso,0.0977011494252873,0.0977011494252873,0.0977011494252873
smote_nc,dummy,moderato,0.0977011494252873,0.0977011494252873,0.0977011494252873
smote_nc,dummy,alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
smote_nc,dummy,molto alto,0.0977011494252873,0.0977011494252873,0.0977011494252873
smote_nc,lr_scored,basso,0.09366049397589934,0.09201178960952894,0.09533814243681893
