technique,model,fold,n,prevalence,auc,pr_auc
none,lr_penalized,outer0,870,0.09770114942528736,0.6586886474334956,0.18983217254823226
none,lr_penalized,outer1,870,0.09770114942528736,0.6783814162607719,0.23133630318313095
none,lr_penalized,outer2,870,0.09770114942528736,0.6598426376920196,0.20782824159626873
none,lr_penalized,outer3,870,0.09770114942528736,0.7621131509928812,0.3756802620081798
none,lr_penalized,outer4,870,0.09770114942528736,0.7427950543274635,0.27122717828321286
none,lr_scored,outer0,870,0.09770114942528736,0.6316897714499813,0.1491087882467343
none,lr_scored,outer1,870,0.09770114942528736,0.6432971150243537,0.19547881221545668
none,lr_scored,outer2,870,0.09770114942528736,0.6502135631322592,0.22329144582764315
none,lr_scored,outer3,870,0.09770114942528736,0.7330161109029599,0.3551481544064318
none,lr_scored,outer4,870,0.09770114942528736,0.7378194080179843,0.2907280375550259
none,random_forest,outer0,870,0.09770114942528736,0.6339003372049457,0.19192837480229286
none,random_forest,outer1,870,0.09770114942528736,0.693907830648183,0.23571871146084344
none,random_forest,outer2,870,0.09770114942528736,0.6647433495691271,0.20419618374674878
none,random_forest,outer3,870,0.09770114942528736,0.7672536530535781,0.3426106731391318
none,random_forest,outer4,870,0.09770114942528736,0.7793180966654177,0.33071228789164353
none,xgboost,outer0,870,0.09770114942528736,0.6324915698763581,0.19085656409921237
none,xgboost,outer1,870,0.09770114942528736,0.6903559385537654,0.2731974238350321
none,xgboost,outer2,870,0.09770114942528736,0.6517647058823529,0.21511542128359035
none,xgboost,outer3,870,0.09770114942528736,0.7500936680404646,0.3239803713637662
none,xgboost,outer4,870,0.09770114942528736,0.7636118396403149,0.2934372923565986
oversampling,dummy,outer0,870,0.09770114942528736,0.5,0.09770114942528736
oversampling,dummy,outer1,870,0.09770114942528736,0.5,0.09770114942528736
oversampling,dummy,outer2,870,0.09770114942528736,0.5,0.09770114942528736
oversampling,dummy,outer3,870,0.09770114942528736,0.5,0.09770114942528736
oversampling,dummy,outer4,870,0.09770114942528736,0.5,0.09770114942528736
oversampling,lr_penalized,outer0,870,0.09770114942528736,0.6510303484451105,0.19186311876691192
oversampling,lr_penalized,outer1,870,0.09770114942528736,0.6703934057699512,0.20298945687810643
oversampling,lr_penalized,outer2,870,0.09770114942528736,0.6557062570251031,0.18972698551587333
oversampling,lr_penalized,outer3,870,0.09770114942528736,0.7490295991007868,0.3508888469627807
oversampling,lr_penalized,outer4,870,0.09770114942528736,0.7211240164855752,0.25384454688311825
oversampling,lr_scored,outer0,870,0.09770114942528736,0.6298763581865868,0.14811807662391965
oversampling,lr_scored,outer1,870,0.09770114942528736,0.6466242038216561,0.19309726762278479
oversampling,lr_scored,outer2,870,0.09770114942528736,0.6482952416635444,0.2230617805707762
oversampling,lr_scored,outer3,870,0.09770114942528736,0.7348744848257773,0.35162372703438627
oversampling,lr_scored,outer4,870,0.09770114942528736,0.7324690895466467,0.2832263545967406
oversampling,random_forest,outer0,870,0.09770114942528736,0.6435668789808917,0.19591122886923423
oversampling,random_forest,outer1,870,0.09770114942528736,0.6873585612588984,0.2206060818207883
oversampling,random_forest,outer2,870,0.09770114942528736,0.6589434245035594,0.20244982633423053
oversampling,random_forest,outer3,870,0.09770114942528736,0.7631172723866616,0.3300916398604689
oversampling,random_forest,outer4,870,0.09770114942528736,0.7551742225552641,0.2807839966675588
oversampling,xgboost,outer0,870,0.09770114942528736,0.6343799175721243,0.17370749178683506
oversampling,xgboost,outer1,870,0.09770114942528736,0.6919745222929936,0.22261194806169543
oversampling,xgboost,outer2,870,0.09770114942528736,0.646264518546272,0.2115897011483511
oversampling,xgboost,outer3,870,0.09770114942528736,0.7372049456725365,0.30793314384774007
oversampling,xgboost,outer4,870,0.09770114942528736,0.746841513675534,0.2985972499166748
smote_nc,dummy,outer0,870,0.09770114942528736,0.5,0.09770114942528736
smote_nc,dummy,outer1,870,0.09770114942528736,0.5,0.09770114942528736
smote_nc,dummy,outer2,870,0.09770114942528736,0.5,0.09770114942528736
smote_nc,dummy,outer3,870,0.09770114942528736,0.5,0.09770114942528736
smote_nc,dummy,outer4,870,0.09770114942528736,0.5,0.09770114942528736
smote_nc,lr_penalized,outer0,870,0.09770114942528736,0.6355189209441738,0.17780076374746412
smote_nc,lr_penalized,outer1,870,0.09770114942528736,0.6565455226676657,0.20278702559130343
smote_nc,lr_penalized,outer2,870,0.09770114942528736,0.6613563132259273,0.2075918698816401
smote_nc,lr_penalized,outer3,870,0.09770114942528736,0.7496440614462346,0.36595391535220534
smote_nc,lr_penalized,outer4,870,0.09770114942528736,0.7238666167103784,0.24466529778791596
smote_nc,lr_scored,outer0,870,0.09770114942528736,0.6360959160734356,0.15114010768145392
smote_nc,lr_scored,outer1,870,0.09770114942528736,0.6387111277632072,0.19754081290746786
smote_nc,lr_scored,outer2,870,0.09770114942528736,0.6403222180591982,0.21236533234296662
smote_nc,lr_scored,outer3,870,0.09770114942528736,0.7236343199700263,0.32480530222483495
smote_nc,lr_scored,outer4,870,0.09770114942528736,0.7091345073061072,0.26593168691766594
smote_nc,random_forest,outer0,870,0.09770114942528736,0.6312176845260398,0.20597608292080982
smote_nc,random_forest,outer1,870,0.09770114942528736,0.6771524915698763,0.18190564505928347
smote_nc,random_forest,outer2,870,0.09770114942528736,0.6254477332334207,0.20332417459221042
smote_nc,random_forest,outer3,870,0.09770114942528736,0.7114874484825777,0.24712362839521426
smote_nc,random_forest,outer4,870,0.09770114942528736,0.7056575496440615,0.2156247345983523
smote_nc,xgboost,outer0,870,0.09770114942528736,0.6262720119895092,0.16532465465761353
smote_nc,xgboost,outer1,870,0.09770114942528736,0.692843761708505,0.20174970465084757
smote_nc,xgboost,outer2,870,0.09770114942528736,0.6432521543649308,0.2087075878761417
smote_nc,xgboost,outer3,870,0.09770114942528736,0.7304758336455601,0.25851970227669613
smote_nc,xgboost,outer4,870,0.09770114942528736,0.7575271637317348,0.2613652822825911
smote_nc_level,dummy,outer0,870,0.09770114942528736,0.5,0.09770114942528736
smote_nc_level,dummy,outer1,870,0.09770114942528736,0.5,0.09770114942528736
smote_nc_level,dummy,outer2,870,0.09770114942528736,0.5,0.09770114942528736
smote_nc_level,dummy,outer3,870,0.09770114942528736,0.5,0.09770114942528736
smote_nc_level,dummy,outer4,870,0.09770114942528736,0.5,0.09770114942528736
smote_nc_level,lr_penalized,outer0,870,0.09770114942528736,0.6361633570625702,0.17226290507892256
smote_nc_level,lr_penalized,outer1,870,0.09770114942528736,0.6704383664293743,0.23083072376755273
smote_nc_level,lr_penalized,outer2,870,0.09770114942528736,0.6600674409891345,0.20630109998172938
smote_nc_level,lr_penalized,outer3,870,0.09770114942528736,0.7433046084675908,0.35567730905403955
smote_nc_level,lr_penalized,outer4,870,0.09770114942528736,0.7139003372049457,0.23690626823681052
smote_nc_level,lr_scored,outer0,870,0.09770114942528736,0.6367853128512552,0.15180563502707545
smote_nc_level,lr_scored,outer1,870,0.09770114942528736,0.63740726863994,0.19124116066626978
smote_nc_level,lr_scored,outer2,870,0.09770114942528736,0.6378943424503559,0.2082962896005447
smote_nc_level,lr_scored,outer3,870,0.09770114942528736,0.7176245784938179,0.29466894215885486
smote_nc_level,lr_scored,outer4,870,0.09770114942528736,0.7073960284750843,0.26230665897451555
smote_nc_level,random_forest,outer0,870,0.09770114942528736,0.6203521918321468,0.17776285059852728
smote_nc_level,random_forest,outer1,870,0.09770114942528736,0.6792956163357062,0.18260246746334552
smote_nc_level,random_forest,outer2,870,0.09770114942528736,0.631232671412514,0.21879467714432554
smote_nc_level,random_forest,outer3,870,0.09770114942528736,0.7189359310603222,0.25447769697386863
smote_nc_level,random_forest,outer4,870,0.09770114942528736,0.725769951292619,0.22369223071324884
smote_nc_level,xgboost,outer0,870,0.09770114942528736,0.6339902585237915,0.1824310307360667
