technique,model,threshold,precision,precision_low,precision_high,recall,recall_low,recall_high,specificity,specificity_low,specificity_high,alert_rate,alert_rate_low,alert_rate_high,severe_sensitivity
oversampling,lr_penalized,0.5,0.17713853141559424,0.1574951401073434,0.19865423586455833,0.5505882352941176,0.503053012455681,0.5972171436021058,0.7230573248407643,0.7088449700621239,0.7368334871504486,0.30367816091954025,0.29019113345304914,0.3175116237202361,0.6619718309859155
oversampling,random_forest,0.5,0.26048565121412803,0.22220257863099804,0.3027967492317334,0.2776470588235294,0.23720621306839657,0.3220714730962145,0.9146496815286624,0.9054981848224859,0.922990323588093,0.10413793103448275,0.0954077795221665,0.11356663248298235,0.38028169014084506
oversampling,xgboost,0.5,0.19101123595505617,0.1693974201829326,0.21467006416900222,0.52,0.4725356572047453,0.567106032399496,0.7615286624203822,0.7479451951988743,0.7746007058047875,0.26597701149425285,0.2530571910114135,0.27930979587664767,0.6197183098591549
smote_nc,dummy,0.5,0.09770114942528736,0.08922960859625503,0.10688259872605071,1.0,0.9910422401060335,1.0,0.0,0.0,0.000977758675415526,1.0,0.9991176851851342,1.0,1.0
smote_nc,lr_scored,0.5,0.15936507936507938,0.1421206241558043,0.1782671234515643,0.5905882352941176,0.5432301347812326,0.636323400485037,0.6626751592356688,0.647731301297613,0.67730090307729,0.3620689655172414,0.3479145476537844,0.37646678057100613,0.676056338028169
smote_nc,lr_penalized,0.5,0.1703601108033241,0.15185003217773274,0.19061941142044303,0.5788235294117647,0.5313811376086679,0.6248537567139303,0.6947770700636943,0.6801858742496905,0.7089873759376444,0.33195402298850574,0.31811356118929524,0.3460910236979079,0.647887323943662
smote_nc,random_forest,0.5,0.29457364341085274,0.24229093666297052,0.35288394329143913,0.17882352941176471,0.14531806151611093,0.21808304072166051,0.9536305732484076,0.9465966954607145,0.959777368579246,0.05931034482758621,0.052672234488143586,0.0667261091900622,0.2535211267605634
smote_nc,xgboost,0.5,0.3140495867768595,0.2381537765298799,0.40138904502083517,0.08941176470588236,0.06583455168826151,0.1203448793776075,0.9788535031847134,0.9738622306679124,0.9829083693675303,0.02781609195402299,0.02333031554452074,0.033135098078345575,0.23943661971830985
smote_nc_level,dummy,0.5,0.09770114942528736,0.08922960859625503,0.10688259872605071,1.0,0.9910422401060335,1.0,0.0,0.0,0.000977758675415526,1.0,0.9991176851851342,1.0,1.0
smote_nc_level,lr_scored,0.5,0.15762925598991173,0.14052553466154025,0.17638748583198213,0.5882352941176471,0.5408581635201359,0.6340316435573994,0.6596178343949045,0.6446444513242906,0.6742790820208571,0.3645977011494253,0.3504197279849152,0.37901460922242086,0.676056338028169
smote_nc_level,lr_penalized,0.5,0.17004898530440868,0.15146157166232252,0.1904056012933373,0.571764705882353,0.5242846984992521,0.6179590112571433,0.6978343949044586,0.6832809770154168,0.7120009442016736,0.32850574712643676,0.31470526796617243,0.3426088501266505,0.6901408450704225
smote_nc_level,random_forest,0.5,0.2743362831858407,0.22030235370786996,0.33591348079232297,0.14588235294117646,0.1154954713075946,0.18261343628789703,0.9582165605095542,0.9514957511117274,0.9640413194728664,0.051954022988505745,0.0457452117361009,0.058953469447427055,0.23943661971830985
smote_nc_level,xgboost,0.5,0.35537190082644626,0.27574581334709386,0.4438986034145734,0.1011764705882353,0.07598482128108616,0.13351325072845424,0.9801273885350319,0.9752687641257841,0.9840471155053901,0.02781609195402299,0.02333031554452074,0.033135098078345575,0.2535211267605634
ctgan,dummy,0.5,0.09770114942528736,0.08922960859625503,0.10688259872605071,1.0,0.9910422401060335,1.0,0.0,0.0,0.000977758675415526,1.0,0.9991176851851342,1.0,1.0
ctgan,lr_scored,0.5,0.12956335003579098,0.11296401943827818,0.14819434114356791,0.4258823529411765,0.3797416660153918,0.4733508960394786,0.6901910828025478,0.6755446194107306,0.7044656242319711,0.32114942528735635,0.30743709674570496,0.33517735885244027,0.4647887323943662
ctgan,lr_penalized,0.5,0.20481927710843373,0.15935806914720152,0.25924993649538974,0.12,0.09246002670768581,0.1543478708117288,0.9495541401273885,0.9422568225873754,0.9559723467462445,0.05724137931034483,0.05072069652844391,0.06454336707313374,0.18309859154929578
ctgan,random_forest,0.5,0.20930232558139536,0.15519010273414435,0.2761157982139922,0.08470588235294117,0.06181130277461944,0.11504067191378103,0.9653503184713376,0.9591584065772837,0.9706322297434059,0.03954022988505747,0.0341436950872916,0.0457493056364675,0.1267605633802817
ctgan,xgboost,0.5,0.35064935064935066,0.25348675204062443,0.46200576460218057,0.06352941176470588,0.04402523287564998,0.09085318811414199,0.9872611464968153,0.9832458195943871,0.990323625772883,0.017701149425287357,0.014186813992193324,0.02206656370049095,0.15492957746478872
ctgan_level,dummy,0.5,0.09770114942528736,0.08922960859625503,0.10688259872605071,1.0,0.9910422401060335,1.0,0.0,0.0,0.000977758675415526,1.0,0.9991176851851342,1.0,1.0
ctgan_level,lr_scored,0.5,0.12597911227154046,0.11029297048979728,0.14353626206656075,0.4541176470588235,0.40740380418980193,0.5016534961298798,0.6588535031847134,0.643872846201597,0.6735235193861118,0.352183908045977,0.33812568890374967,0.3665029678438176,0.4507042253521127
ctgan_level,lr_penalized,0.5,0.3149171270718232,0.25169280725741944,0.38583439888201315,0.13411764705882354,0.10497588745885535,0.16981437919296488,0.9684076433121019,0.9624611587185564,0.9734381486318887,0.04160919540229885,0.036068187392032366,0.047959093408354886,0.16901408450704225
ctgan_level,random_forest,0.5,0.18324607329842932,0.13481200656779935,0.24417026582756324,0.08235294117647059,0.059808333793654966,0.11237991270601122,0.9602547770700637,0.9536794667874102,0.9659300511503537,0.04390804597701149,0.03821114882185932,0.05040977650811476,0.09859154929577464
ctgan_level,xgboost,0.5,0.35714285714285715,0.25503339271634845,0.474116053686585,0.058823529411764705,0.04015802720418045,0.08539293740814298,0.9885350318471338,0.9846943849132052,0.9914203400497964,0.016091954022988506,0.012757000537945387,0.02028082598402811,0.11267605633802817
