technique,metric,model_a,model_b,difference,low,high,t,p_value,p_holm
level_weight,pr_auc,random_forest,xgboost,-0.010299437486901713,-0.04058463393360921,0.01998575895980579,-0.9442178407895968,0.3985222657516496,1.0
none,pr_auc,dummy,lr_penalized,-0.15747968209851754,-0.295162343084452,-0.01979702111258308,-3.175662711626419,0.03367467803954998,0.26939742431639985
none,pr_auc,dummy,lr_scored,-0.145049898224971,-0.2961220744760833,0.006022278026141331,-2.6657660591765895,0.05605255182173962,0.39236786275217733
none,pr_auc,dummy,random_forest,-0.16333209678284474,-0.2955457211403235,-0.031118472425366,-3.4299233746765525,0.026537501858489628,0.23883751672640666
none,pr_auc,dummy,xgboost,-0.16161626516235256,-0.2643866566723263,-0.0588458736523788,-4.366225346984445,0.012003476485631857,0.12003476485631856
none,pr_auc,lr_penalized,lr_scored,0.01242978387354654,-0.040353314012063914,0.06521288175915699,0.6538193849319883,0.5489095513768213,1.0
none,pr_auc,lr_penalized,random_forest,-0.005852414684327167,-0.06830586305074024,0.056601033682085904,-0.26017631578253053,0.8075715771291028,1.0
none,pr_auc,lr_penalized,xgboost,-0.004136583063835003,-0.06923819213474064,0.06096502600707063,-0.17641646594817442,0.8685386010711057,1.0
none,pr_auc,lr_scored,random_forest,-0.01828219855787371,-0.07645449874500981,0.0398901016292624,-0.8725720065215383,0.4321453097741736,1.0
none,pr_auc,lr_scored,xgboost,-0.016566366937381543,-0.09698034583658047,0.06384761196181737,-0.5719852322176505,0.5979420811997637,1.0
none,pr_auc,random_forest,xgboost,0.0017158316204921643,-0.05134753780186421,0.054779201042848544,0.0897777950386234,0.9327794796651285,1.0
oversampling,pr_auc,dummy,lr_penalized,-0.14016144157607077,-0.2674378037895344,-0.012885079362607132,-3.0575241280755487,0.03774964440313701,0.30199715522509607
oversampling,pr_auc,dummy,lr_scored,-0.14212429186443415,-0.2901232422220753,0.005874658493207036,-2.6662371153522004,0.05602505789039177,0.3921754052327424
oversampling,pr_auc,dummy,random_forest,-0.14826740528516882,-0.25579199095029453,-0.04074281962004313,-3.828485449331987,0.01864225646091779,0.1864225646091779
oversampling,pr_auc,dummy,xgboost,-0.14518675752697194,-0.2534322135418289,-0.036941301512114985,-3.7239721381004047,0.02040373911634533,0.1864225646091779
oversampling,pr_auc,lr_penalized,lr_scored,-0.0019628502883633713,-0.06061860862665552,0.05669290804992878,-0.0929106745825637,0.9304420297291447,1.0
oversampling,pr_auc,lr_penalized,random_forest,-0.00810596370909803,-0.04191844732731022,0.025706519909114156,-0.6656051509601042,0.5420817609157972,1.0
oversampling,pr_auc,lr_penalized,xgboost,-0.005025315950901161,-0.07030822599435951,0.06025759409255719,-0.21372383468604322,0.8412144380397968,1.0
oversampling,pr_auc,lr_scored,random_forest,-0.0061431134207346584,-0.06314492129148683,0.050858694450017505,-0.29921888137911357,0.7796756481824046,1.0
oversampling,pr_auc,lr_scored,xgboost,-0.003062465662537789,-0.060133466762638046,0.05400853543756247,-0.1489857832294872,0.8887743887267118,1.0
oversampling,pr_auc,random_forest,xgboost,0.0030806477581968696,-0.031026756555858483,0.037188052072252224,0.2507739759474906,0.8143436653325048,1.0
smote_nc,pr_auc,dummy,lr_penalized,-0.14205862504681843,-0.28077926807634845,-0.0033379820172883823,-2.8432536466717955,0.04671350667256694,0.332676793990417
smote_nc,pr_auc,dummy,lr_scored,-0.1326554989895905,-0.2571155255506548,-0.008195472428526182,-2.9592691004811384,0.041584599248802125,0.332676793990417
smote_nc,pr_auc,dummy,random_forest,-0.11308970368788669,-0.15732864466044058,-0.0688507627153328,-7.097533244462192,0.002081259025147803,0.020812590251478028
smote_nc,pr_auc,dummy,xgboost,-0.12143223692349063,-0.1973222880181538,-0.045542185828827464,-4.442610526100355,0.01131110331276791,0.10179992981491119
smote_nc,pr_auc,lr_penalized,lr_scored,0.009403126057227934,-0.03682724599340937,0.05563349810786524,0.5647210298578687,0.6024288037086523,1.0
smote_nc,pr_auc,lr_penalized,random_forest,0.028968921358931737,-0.07311256801413947,0.13105041073200294,0.7879060190425002,0.4748184757540732,1.0
smote_nc,pr_auc,lr_penalized,xgboost,0.020626388123327788,-0.0718054732060392,0.11305824945269477,0.6195702814947904,0.5690882595174839,1.0
smote_nc,pr_auc,lr_scored,random_forest,0.019565795301703805,-0.0734859444527779,0.11261753505618549,0.5837973232746689,0.5906923006934895,1.0
smote_nc,pr_auc,lr_scored,xgboost,0.011223262066099854,-0.04779993835497717,0.07024646248717688,0.5279410605570549,0.6254708633961477,1.0
smote_nc,pr_auc,random_forest,xgboost,-0.008342533235603949,-0.06686600858173469,0.0501809421105268,-0.3957828107430376,0.7124676448720266,1.0
smote_nc_level,pr_auc,dummy,lr_penalized,-0.14269451179852358,-0.27172541230305325,-0.013663611293993877,-3.070454265392741,0.03727646359758133,0.2609352451830693
smote_nc_level,pr_auc,dummy,lr_scored,-0.12396258786016472,-0.23000218798670086,-0.017922987733628576,-3.245724426358684,0.03150283623024047,0.2520226898419238
smote_nc_level,pr_auc,dummy,random_forest,-0.1137648351533758,-0.17282535920984918,-0.05470431109690244,-5.348103911221626,0.005893134522579663,0.053038210703216966
smote_nc_level,pr_auc,dummy,xgboost,-0.12330606415198139,-0.18003307431526386,-0.06657905398869893,-6.03508835157273,0.0038004015114772,0.038004015114772
smote_nc_level,pr_auc,lr_penalized,lr_scored,0.01873192393835888,-0.0444461667547719,0.08191001463148967,0.8231992761890892,0.4566414260356398,1.0
smote_nc_level,pr_auc,lr_penalized,random_forest,0.028929676645147784,-0.05814895744471664,0.11600831073501221,0.9224037555927233,0.4085197276526063,1.0
smote_nc_level,pr_auc,lr_penalized,xgboost,0.01938844764654219,-0.07472538058114286,0.11350227587422726,0.5719771640294462,0.5979470526059953,1.0
smote_nc_level,pr_auc,lr_scored,random_forest,0.010197752706788904,-0.04446150455800762,0.06485700997158543,0.5180000973964388,0.6317903199291595,1.0
smote_nc_level,pr_auc,lr_scored,xgboost,0.0006565237081833097,-0.051326082696366855,0.052639130112733475,0.035065614483545796,0.9737075239300648,1.0
smote_nc_level,pr_auc,random_forest,xgboost,-0.009541228998605595,-0.03454599458565244,0.015463536588441249,-1.059425990558882,0.34913960228685686,1.0
undersampling,pr_auc,dummy,lr_penalized,-0.14401757990968891,-0.27047584140843756,-0.017559318410940272,-3.1619674354501908,0.034119577318818636,0.2729566185505491
undersampling,pr_auc,dummy,lr_scored,-0.14628845379165312,-0.2938204536528748,0.0012435460695685574,-2.753042471184906,0.05121409780608881,0.35849868464262163
undersampling,pr_auc,dummy,random_forest,-0.14063588976139718,-0.24756846167372673,-0.03370331784906763,-3.6515331181157715,0.02174203062725911,0.195678275645332
undersampling,pr_auc,dummy,xgboost,-0.1161340074369405,-0.1733467620148758,-0.05892125285900519,-5.635800948127217,0.004878198568977079,0.048781985689770796
undersampling,pr_auc,lr_penalized,lr_scored,-0.0022708738819642083,-0.07673648182979305,0.07219473406586464,-0.0846693775537069,0.9365926303559627,1.0
undersampling,pr_auc,lr_penalized,random_forest,0.0033816901482917215,-0.0603058706855507,0.06706925098213413,0.14742403283454003,0.8899297749331034,1.0
undersampling,pr_auc,lr_penalized,xgboost,0.027883572472748402,-0.06545258772161328,0.12121973266711009,0.829444966947193,0.4534825993527602,1.0
undersampling,pr_auc,lr_scored,random_forest,0.00565256403025593,-0.055973182438368865,0.06727831049888072,0.25466683379829586,0.8115373878565134,1.0
undersampling,pr_auc,lr_scored,xgboost,0.03015444635471261,-0.06513096043643472,0.12543985314585995,0.8786462460615705,0.4292065731389665,1.0
undersampling,pr_auc,random_forest,xgboost,0.02450188232445668,-0.030787426250500863,0.07979119089941422,1.2304030019771741,0.28595599898024526,1.0
