model,metric,technique,confirmatory,difference,low,high,t,p_value,p_holm
xgboost,auc,smote_nc_level,True,-0.008896215811165264,-0.03360337117551204,0.01581093955318151,-0.9997045179606432,0.37402784288472124,1.0
xgboost,auc,undersampling,True,-0.014799550393405792,-0.060101663886148085,0.030502563099336504,-0.9070247739210336,0.415693810481456,1.0
dummy,pr_auc,class_weight,True,0.0,0.0,0.0,,,
dummy,pr_auc,ctgan,False,0.0,0.0,0.0,,,
dummy,pr_auc,ctgan_level,False,0.0,0.0,0.0,,,
dummy,pr_auc,level_weight,True,0.0,0.0,0.0,,,
dummy,pr_auc,oversampling,True,0.0,0.0,0.0,,,
dummy,pr_auc,smote_nc,True,0.0,0.0,0.0,,,
dummy,pr_auc,smote_nc_level,True,0.0,0.0,0.0,,,
dummy,pr_auc,undersampling,True,0.0,0.0,0.0,,,
lr_penalized,pr_auc,class_weight,True,-0.005052548850515271,-0.021530879801818434,0.011425782100787894,-0.8513073663978371,0.44256251041600714,0.8851250208320143
lr_penalized,pr_auc,ctgan,False,-0.0975060486714949,-0.17913043695048275,-0.015881660392507047,-3.3166581369754646,0.029470397889133877,
lr_penalized,pr_auc,ctgan_level,False,-0.07578705687630365,-0.16312544404431456,0.011551330291707254,-2.409233899599983,0.07361585367557755,
lr_penalized,pr_auc,level_weight,True,-0.00056799786492025,-0.009443162507451598,0.008307166777611097,-0.1776885224487322,0.8676029972288493,0.8851250208320143
lr_penalized,pr_auc,oversampling,True,-0.017318240522446782,-0.03920725929945054,0.004570778254556974,-2.1966788287331003,0.09299644146888454,0.5579786488133073
lr_penalized,pr_auc,smote_nc,True,-0.015421057051699123,-0.03767305663805831,0.006830942534660069,-1.9241290294833826,0.1266680678026244,0.633340339013122
lr_penalized,pr_auc,smote_nc_level,True,-0.014785170299993966,-0.04106391995662264,0.01149357935663471,-1.5621068066523984,0.19329352975003522,0.7731741190001409
lr_penalized,pr_auc,undersampling,True,-0.01346210218882865,-0.04234497973040779,0.015420775352750486,-1.2940811618938948,0.265297186256156,0.7958915587684681
lr_scored,pr_auc,class_weight,True,-0.0008450789120302505,-0.009088255938466898,0.007398098114406396,-0.2846372462082776,0.7900503182612065,1.0
lr_scored,pr_auc,ctgan,False,-0.09297183566906132,-0.24668319461389304,0.06073952327577038,-1.6793241555899872,0.16838836007263577,
lr_scored,pr_auc,ctgan_level,False,-0.09674762383259741,-0.19327542296601585,-0.00021982469917898595,-2.782767959500039,0.049677721649254776,
lr_scored,pr_auc,level_weight,True,-0.0018779196693259226,-0.01339695751238818,0.009641118173736333,-0.4526368386744119,0.6742736706933206,1.0
lr_scored,pr_auc,oversampling,True,-0.0029256063605368698,-0.008243267516398903,0.002392054795325163,-1.5275109153003859,0.20134948452063742,1.0
lr_scored,pr_auc,smote_nc,True,-0.012394399235380516,-0.040257241044661975,0.015468442573900945,-1.2350631469858295,0.28439344178666276,1.0
lr_scored,pr_auc,smote_nc_level,True,-0.021087310364806305,-0.06757722108408899,0.025402600354476387,-1.2593648544020373,0.27637590382236665,1.0
lr_scored,pr_auc,undersampling,True,0.001238555566682098,-0.0059512065300036925,0.008428317663367888,0.4782886407625559,0.6574120326045528,1.0
random_forest,pr_auc,class_weight,True,-0.014121711605084497,-0.04862900255702865,0.020385579346859653,-1.136228199355149,0.3193166985662283,1.0
random_forest,pr_auc,ctgan,False,-0.09199486666397018,-0.21229716625744305,0.028307432929502677,-2.1231406059204017,0.10098434774776828,
random_forest,pr_auc,ctgan_level,False,-0.08899354281833943,-0.16223491800304368,-0.015752167633635197,-3.3735806534090074,0.027950922335372254,
random_forest,pr_auc,level_weight,True,-0.010937659507287428,-0.04918080462243326,0.0273054856078584,-0.7940720123801065,0.47160274903777333,1.0
random_forest,pr_auc,oversampling,True,-0.01506469149767592,-0.05415648455657558,0.024027101561223743,-1.069950639179364,0.3449092839384574,1.0
random_forest,pr_auc,smote_nc,True,-0.050242393094958024,-0.1557465647683483,0.055261778578432244,-1.3221775420763044,0.2566463825777774,1.0
random_forest,pr_auc,smote_nc_level,True,-0.049567261629468916,-0.14348610602356196,0.044351582764624135,-1.46531595248049,0.21670342122109265,1.0
random_forest,pr_auc,undersampling,True,-0.02269620702144754,-0.05054018522898994,0.005147771186094861,-2.263138277926978,0.08638016730732404,0.5182810038439443
xgboost,pr_auc,class_weight,True,-0.011817929992520015,-0.03849785401301125,0.014861994027971219,-1.2298323584468085,0.2861478962704939,0.8584436888114817
xgboost,pr_auc,ctgan,False,-0.0370869662972389,-0.09353778721868422,0.019363854624206416,-1.8240642804095493,0.14220420177992207,
xgboost,pr_auc,ctgan_level,False,-0.03477284932573935,-0.08015384441639087,0.010608145764912182,-2.1274303728107897,0.10049799715889214,
xgboost,pr_auc,level_weight,True,0.0010776096001064495,-0.01869285255074494,0.02084807175095784,0.15133302786252065,0.8870385217913285,0.8870385217913285
xgboost,pr_auc,oversampling,True,-0.016429507635380626,-0.05593799136492064,0.02307897609415939,-1.1545779981669118,0.3125447735835646,0.8584436888114817
xgboost,pr_auc,smote_nc,True,-0.04018402823886191,-0.09150963057083951,0.011141574093115683,-2.1737445532403803,0.09540954031779747,0.5724572419067848
xgboost,pr_auc,smote_nc_level,True,-0.03831020101037116,-0.10283966180615628,0.02621925978541397,-1.648335020356099,0.1746291703341332,0.6985166813365328
xgboost,pr_auc,undersampling,True,-0.045482257725412055,-0.1131791304665885,0.02221461501576439,-1.8653593101392403,0.13555695961958378,0.6777847980979189
