setting,population,model,rule,threshold,n,positives,prevalence,screened,screened_low,screened_high,detected,detected_low,detected_high
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",random_forest,sensibilita' 0.85,0.0616781180412668,4087.0,322.0,0.07878639588940543,0.7195987276731098,0.7056259481485496,0.733159083749866,0.8509316770186336,0.8079027764640548,0.8856860652320061
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",random_forest,soglia 0.05,0.05,4087.0,322.0,0.07878639588940543,0.8583312943479324,0.8473037314428562,0.868685883281634,0.9347826086956522,0.9023621027659702,0.9569515064149904
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",random_forest,soglia 0.07,0.07,4087.0,322.0,0.07878639588940543,0.6126743332517739,0.5976403891266879,0.627496666237346,0.7919254658385093,0.7442742621249998,0.8326934468965022
tesi,"tutti, bersaglio composito",xgboost,sensibilita' 0.85,0.0482004135847091,4350.0,425.0,0.09770114942528736,0.6783908045977012,0.6643580581372441,0.6921087573586935,0.851764705882353,0.8148357311181423,0.8823916330976317
tesi,"tutti, bersaglio composito",xgboost,soglia 0.05,0.05,4350.0,425.0,0.09770114942528736,0.6565517241379311,0.6423077952527927,0.67051939721207,0.8352941176470589,0.7970569804120378,0.8675242864825965
tesi,"tutti, bersaglio composito",xgboost,soglia 0.07,0.07,4350.0,425.0,0.09770114942528736,0.4772413793103448,0.462424946924748,0.4920979722323424,0.7129411764705882,0.6681746493466231,0.7538927517338289
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",xgboost,sensibilita' 0.85,0.0461558029055595,4087.0,322.0,0.07878639588940543,0.6873011989234157,0.6729180107079935,0.7013326209557806,0.8509316770186336,0.8079027764640548,0.8856860652320061
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",xgboost,soglia 0.05,0.05,4087.0,322.0,0.07878639588940543,0.6378761928064595,0.6230183314666128,0.6524751119593005,0.8043478260869565,0.7575371716643646,0.8439823547623078
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",xgboost,soglia 0.07,0.07,4087.0,322.0,0.07878639588940543,0.4509420112551994,0.43574006731708553,0.46623608990226556,0.6583850931677019,0.6049903840237901,0.7080452878921312
riferimento,Bragg-Gresham et al. 2024,bragg_gresham_2024,soglia 0.05,0.05,,,,,,,0.85,,
riferimento,Bragg-Gresham et al. 2024,bragg_gresham_2024,soglia 0.07,0.07,,,,0.377,,,0.732,,
