group,model,predicted,observed,low,high
tutti,lr_scored,0.32793552141527443,0.33207267872588603,0.27897514781301314,0.3898125751244931
tutti,lr_scored,0.3296524889631133,0.33384452895422906,0.28019089051756696,0.39217462086866706
tutti,lr_scored,0.3313694565109522,0.3356163800531709,0.2814047695795601,0.394537666159719
tutti,lr_scored,0.3330864240587911,0.3373882292763834,0.2826168419610285,0.39690161377553385
tutti,lr_scored,0.3348033916066299,0.33916007389187136,0.2838271632468071,0.3992663681078898
tutti,lr_scored,0.3365203591544688,0.3409319111817257,0.2850357876903071,0.4016318351191632
tutti,lr_scored,0.33823732670230766,0.34270373844189705,0.2862427682581051,0.40399792230017434
tutti,lr_scored,0.33995429425014656,0.34447555298196436,0.2874481566730707,0.40636453862944366
tutti,lr_scored,0.34167126179798546,0.34624735212489427,0.2886520034562161,0.4087315945336413
tutti,lr_scored,0.3433882293458243,0.3480191332068395,0.28985435796720616,0.41109900184940396
tutti,lr_scored,0.3451051968936632,0.34979089357690546,0.2910552684435552,0.41346667378634966
tutti,lr_scored,0.3468221644415021,0.3515626305969365,0.2922547820385886,0.4158345248913088
tutti,lr_scored,0.34853913198934094,0.3533343416413093,0.2934529448582267,0.4182024710136827
tutti,lr_scored,0.35025609953717984,0.35510602409672165,0.2946498019963433,0.420570429272206
tutti,lr_scored,0.3519730670850187,0.35687767536198595,0.2958453975692556,0.4229383180224807
tutti,lr_scored,0.3536900346328576,0.35864929284782987,0.2970397747488209,0.42530605682591166
tutti,lr_scored,0.3554070021806965,0.36042087397669686,0.2982329757944583,0.42767356641965926
tutti,lr_scored,0.35712396972853533,0.3621924161825543,0.29942504208422616,0.4300407686874795
tutti,lr_scored,0.35884093727637423,0.36396391691069385,0.3006160141446563,0.43240758663177786
tutti,lr_scored,0.36055790482421307,0.36573537361755326,0.30180593167973907,0.43477394434647765
tutti,lr_scored,0.36227487237205197,0.36750678377052454,0.3029948335987274,0.43713976699103096
tutti,lr_scored,0.36399183991989087,0.36927814484776533,0.3041827580431841,0.43950498076511046
tutti,lr_scored,0.3657088074677297,0.37104945433802494,0.3053697424129381,0.44186951288440773
tutti,lr_scored,0.3674257750155686,0.3728207097404698,0.3065558233912948,0.4442332915571078
tutti,lr_scored,0.3691427425634075,0.37459190856450164,0.3077410369691905,0.44659624596139147
tutti,lr_scored,0.37085971011124635,0.3763630483295867,0.308925418468708,0.44895830622352645
tutti,lr_scored,0.37257667765908525,0.37813412656509165,0.31010900256566104,0.4513194033968799
diabetici,lr_penalized,0.05307563505406175,0.0723833628997201,0.01620219649792009,0.26992353662424234
diabetici,lr_penalized,0.056855134956026246,0.07676616513334013,0.019696249689596133,0.2560115608267032
diabetici,lr_penalized,0.06063463485799074,0.08110358856493821,0.023593645769147877,0.24379386360611704
diabetici,lr_penalized,0.06441413475995524,0.08539872023851937,0.027882774441265554,0.23310750517367806
diabetici,lr_penalized,0.06819363466191973,0.08965544970810453,0.032536127070357385,0.2238497028969855
diabetici,lr_penalized,0.07197313456388423,0.09388429645090715,0.03749867807923513,0.21602584804153033
diabetici,lr_penalized,0.07575263446584872,0.09809711245053289,0.04269354240230691,0.2096523965577801
diabetici,lr_penalized,0.07953213436781321,0.10230430624998811,0.048028061899002654,0.204726904832125
diabetici,lr_penalized,0.08331163426977771,0.10651506487686628,0.05339823404103953,0.20123630591994185
diabetici,lr_penalized,0.08709113417174219,0.11073754264327368,0.05869572607113034,0.19915891257083257
diabetici,lr_penalized,0.09087063407370669,0.11497901730259154,0.06381739551004578,0.1984613752511962
diabetici,lr_penalized,0.09465013397567118,0.11924601937605746,0.06867629011648571,0.19909244311151736
diabetici,lr_penalized,0.09842963387763567,0.1235444394665637,0.07321195869241488,0.2009762316510404
diabetici,lr_penalized,0.10220913377960017,0.1278796175070708,0.07739727252183973,0.2040081370358195
diabetici,lr_penalized,0.10598863368156466,0.13225641715894976,0.08123960702695963,0.20805575893589323
diabetici,lr_penalized,0.10976813358352916,0.1366792879723393,0.08477616182474414,0.2129651850337999
diabetici,lr_penalized,0.11354763348549365,0.1411523174294361,0.08806531457863716,0.21857082622656293
diabetici,lr_penalized,0.11732713338745815,0.14567927459433183,0.09117690688231228,0.22470596347438063
diabetici,lr_penalized,0.12110663328942264,0.15026364677267293,0.09418389332838349,0.23121162229495987
diabetici,lr_penalized,0.12488613319138714,0.15490867032641667,0.09715653387816854,0.23794263709139393
diabetici,lr_penalized,0.12866563309335163,0.1596173565810965,0.10015916030770697,0.24477091520030902
diabetici,lr_penalized,0.13244513299531613,0.16439251359532897,0.10324892496888806,0.25158653220854077
diabetici,lr_penalized,0.13622463289728062,0.16923676442678037,0.10647579918594725,0.2582974295853235
diabetici,lr_penalized,0.14000413279924512,0.174152562419035,0.10988320640347787,0.2648283653717815
diabetici,lr_penalized,0.1437836327012096,0.17914220394466573,0.1135088643616948,0.27111957584644547
diabetici,lr_penalized,0.1475631326031741,0.1842078389672284,0.1173855753688927,0.2771254366717031
diabetici,lr_penalized,0.1513426325051386,0.18935069607183042,0.12153968320741536,0.28281527509590615
diabetici,lr_penalized,0.1551221324071031,0.19456406345859537,0.12597193461650266,0.2881900034107273
diabetici,lr_penalized,0.1589016323090676,0.19983692706665918,0.1306666903557774,0.29327085566245503
diabetici,lr_penalized,0.1626811322110321,0.20515857156864784,0.13560464219933757,0.29808529516417165
diabetici,lr_penalized,0.16646063211299658,0.210518613676035,0.1407632234675469,0.3026650619199363
diabetici,lr_penalized,0.17024013201496108,0.21590698592727378,0.14611675393931103,0.30704485318772223
diabetici,lr_penalized,0.17401963191692557,0.22131392615751008,0.15163655180470045,0.3112613385249664
diabetici,lr_penalized,0.17779913181889007,0.2267299711889257,0.15729107159891853,0.31535239199007914
diabetici,lr_penalized,0.18157863172085453,0.23214595357020062,0.1630461148716985,0.31935644900576354
diabetici,lr_penalized,0.18535813162281906,0.2375530004259946,0.16886515258673238,0.3233119126668043
diabetici,lr_penalized,0.18913763152478352,0.24294253366558805,0.1747097917086972,0.32725654791759223
diabetici,lr_penalized,0.19291713142674805,0.2483062709534708,0.180540410268397,0.3312268154556166
diabetici,lr_penalized,0.1966966313287125,0.253636226970905,0.18631697284175966,0.3352571134511771
diabetici,lr_penalized,0.20047613123067703,0.2589247146017557,0.19200001993607307,0.33937891647764556
diabetici,lr_penalized,0.2042556311326415,0.26416434576230163,0.19755179978140863,0.34361982817998565
diabetici,lr_penalized,0.20803513103460602,0.2693480316665324,0.2029374814244239,0.34800259545655277
diabetici,lr_penalized,0.2118146309365705,0.27446898237807144,0.20812635884184147,0.3525441624442032
diabetici,lr_penalized,0.21559413083853501,0.2795207055493341,0.2130929347463822,0.3572548647997648
diabetici,lr_penalized,0.21937363074049948,0.28449700428938945,0.21781776824291751,0.362137870363642
diabetici,lr_penalized,0.223153130642464,0.2893919741355491,0.22228798819135792,0.3671889556520192
diabetici,lr_penalized,0.22693263054442847,0.29419999913100314,0.22649741364770307,0.37239666918513303
diabetici,lr_penalized,0.230712130446393,0.29891574703276247,0.2304462763084205,0.3777428802101766
diabetici,lr_penalized,0.23449163034835746,0.303534163691489,0.23414059442518415,0.38320365796455885
diabetici,lr_penalized,0.23827113025032198,0.3080504666581797,0.23759128971815138,0.38875038570094594
diabetici,lr_penalized,0.24205063015228645,0.31246013808264406,0.2408131596089297,0.39435099402339957
diabetici,lr_penalized,0.24583013005425097,0.31675891697582054,0.24382381517273963,0.3999712010838749
diabetici,lr_penalized,0.24960962995621544,0.32094279091260924,0.2466426756619917,0.4055756677451051
