setting,population,model,target_sensitivity,threshold,screened,detected
tesi,"tutti, bersaglio composito",lr_scored,0.89,0.0506651751814752,0.7965517241379311,0.8917647058823529
tesi,"tutti, bersaglio composito",lr_scored,0.9,0.0502852648657892,0.8016091954022988,0.9011764705882352
tesi,"tutti, bersaglio composito",lr_scored,0.91,0.0494749466168269,0.8147126436781609,0.9105882352941177
tesi,"tutti, bersaglio composito",lr_scored,0.92,0.0488310545393219,0.8236781609195403,0.92
tesi,"tutti, bersaglio composito",lr_scored,0.93,0.0460897127670493,0.8606896551724138,0.9317647058823529
tesi,"tutti, bersaglio composito",lr_scored,0.94,0.0442567566366158,0.8820689655172413,0.9411764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.95,0.0432120969472413,0.8942528735632184,0.9505882352941176
tesi,"tutti, bersaglio composito",lr_scored,0.96,0.04124409144325,0.9186206896551724,0.96
tesi,"tutti, bersaglio composito",lr_scored,0.97,0.038117489752911,0.9459770114942528,0.971764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.98,0.0363980092842428,0.9597701149425287,0.9811764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.99,0.0333207417754149,0.9797701149425287,0.9905882352941177
tesi,"tutti, bersaglio composito",lr_scored,1.0,0.0270277560354757,0.9988505747126437,1.0
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.01,0.390950035074292,0.002202104232933692,0.012422360248447204
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.02,0.3526775143761472,0.003914851969659897,0.021739130434782608
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.03,0.3323722441037895,0.005627599706386102,0.031055900621118012
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.04,0.3281134297650254,0.006361634450697333,0.040372670807453416
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.05,0.2892428585261397,0.012233912405187179,0.052795031055900624
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.06,0.2685737699377483,0.01565940787863959,0.062111801242236024
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.07,0.2642749952148545,0.017372155615365793,0.07142857142857142
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.08,0.2442295728013674,0.022021042329336923,0.08074534161490683
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.09,0.2326897614672143,0.02666992904330805,0.09006211180124224
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.1,0.2302158598456516,0.028382676780034255,0.10248447204968944
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.11,0.2279003372956164,0.03009542451676046,0.11180124223602485
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.12,0.2218161897999518,0.03376559823831661,0.12111801242236025
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.13,0.2118310059043979,0.03914851969659897,0.13043478260869565
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.14,0.2035809053459039,0.04404208465867385,0.14285714285714285
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.15,0.1992214084962238,0.046733545387815024,0.15217391304347827
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.16,0.1859245253860914,0.05407389283092733,0.16149068322981366
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.17,0.1778197996235362,0.05970149253731343,0.17080745341614906
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.18,0.1727187859975465,0.06728651822852949,0.18012422360248448
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.19,0.1674768151144027,0.07218008319060436,0.19254658385093168
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.2,0.1657446116353554,0.07511622216784927,0.20186335403726707
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.21,0.1603484573410143,0.08319060435527281,0.2111801242236025
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.22,0.1555814930328719,0.0880841693173477,0.2204968944099379
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.23,0.1499684297240104,0.09787129924149743,0.2329192546583851
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.24,0.147513631507077,0.10325422069977978,0.2422360248447205
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.25,0.1435121103157763,0.1101052116466846,0.2515527950310559
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.26,0.1399005691251367,0.1179349155860044,0.2608695652173913
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.27,0.1368600893135158,0.1257646195253242,0.2701863354037267
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.28,0.1327181663958364,0.1348177147051627,0.2826086956521739
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.29,0.1296845365388805,0.14289209689258625,0.2919254658385093
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.3,0.1289917888632647,0.1460729141179349,0.30124223602484473
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.31,0.1259725465098835,0.1548813310496697,0.3105590062111801
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.32,0.118870613851731,0.17788108637142158,0.32298136645962733
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.33,0.1179322025140776,0.1817959383410815,0.33229813664596275
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.34,0.1170704260231437,0.18571079031074136,0.3416149068322981
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.35,0.1157593237503455,0.19158306826523122,0.35093167701863354
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.36,0.115270149211769,0.1937851724981649,0.36024844720496896
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.37,0.1123357173553289,0.20504037191093713,0.37267080745341613
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.38,0.1108589904570081,0.21066797161732323,0.38198757763975155
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.39,0.1099688062494446,0.21605089307560557,0.391304347826087
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.4,0.1087307694231938,0.21996574504526548,0.40062111801242234
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.41,0.1055629251669727,0.2346464399314901,0.41304347826086957
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.42,0.1036976962108404,0.2436995351113286,0.422360248447205
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.43,0.1019525549883413,0.2544653780278933,0.43167701863354035
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.44,0.0997081991501019,0.2684120381698067,0.4409937888198758
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.45,0.0978987772364433,0.2791778810863714,0.4503105590062112
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.46,0.0973788107518184,0.28309273305603133,0.46273291925465837
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.47,0.0957309068866386,0.29116711524345484,0.4720496894409938
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.48,0.0943924792684105,0.2994861756789821,0.4813664596273292
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.49,0.0926832839683999,0.3144115488133105,0.4906832298136646
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.5,0.0911135577492492,0.3256667482260827,0.5
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.51,0.0908225153711601,0.32762417421091267,0.5124223602484472
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.52,0.0887042594100644,0.343528260337656,0.5217391304347826
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.53,0.08755938266725,0.3525813555174945,0.531055900621118
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.54,0.0855851535966889,0.3706875458771715,0.5403726708074534
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.55,0.083322104661251,0.3873256667482261,0.5527950310559007
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.56,0.0825116836405095,0.39442133594323464,0.562111801242236
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.57,0.0815364223538095,0.4012723268901395,0.5714285714285714
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.58,0.0811184892549575,0.40714460484462933,0.5807453416149069
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.59,0.0801237471446717,0.41595302177636406,0.5900621118012422
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.6,0.0794022663405321,0.4228040127232689,0.6024844720496895
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.61,0.0786055523204022,0.4323464643993149,0.6118012422360248
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.62,0.0776121974968862,0.4411548813310497,0.6211180124223602
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.63,0.0762192436595014,0.4536334719843406,0.6304347826086957
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.64,0.0740537591218653,0.47589919256178126,0.6428571428571429
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.65,0.0732667777756285,0.48421825299730853,0.6521739130434783
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.66,0.0723150623301327,0.49425006116956205,0.6614906832298136
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.67,0.0721383263314489,0.4974308783949107,0.6708074534161491
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.68,0.0699809848928889,0.5214093467090776,0.6801242236024845
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.69,0.0675351830735046,0.5519941277220455,0.6925465838509317
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.7,0.0667867728074406,0.561047222901884,0.7018633540372671
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.71,0.0666491141326888,0.563004648886714,0.7111801242236024
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.72,0.0662533617610375,0.569610961585515,0.7204968944099379
bragg_gresham,"non diabetici, sola albuminuria (ACR >= 30)",lr_scored,0.73,0.063550252341046,0.6009297773427942,0.7329192546583851
