group,model,threshold,n,positives,prevalence,tp,fp,fn,tn,tests,net_benefit,net_benefit_all,net_benefit_none,avoided_per_100,beats_both
non diabetici,lr_scored,0.2,4087,357,0.08735013457303646,55,132,302,3598,187,0.005382921458282359,-0.14081233178370445,0.0,58.478101296794726,True
tutti,lr_scored,0.02,4350,425,0.09770114942528736,425,3925,0,0,4350,0.07928688716866057,0.07928688716866057,0.0,0.0,False
tutti,lr_scored,0.025,4350,425,0.09770114942528736,425,3921,0,4,4346,0.07458885941644564,0.0745652814618332,0.0,0.09195402298852183,True
tutti,lr_scored,0.03,4350,425,0.09770114942528736,423,3899,2,26,4322,0.06952008531816566,0.06979499940751274,0.0,-0.8888888888889126,False
tutti,lr_scored,0.035,4350,425,0.09770114942528736,418,3801,7,124,4219,0.06439997617771426,0.06497528437853613,0.0,-1.586206896551726,False
tutti,lr_scored,0.04,4350,425,0.09770114942528736,411,3637,14,288,4048,0.05964559386973179,0.06010536398467433,0.0,-1.1034482758620954,False
tutti,lr_scored,0.045,4350,425,0.09770114942528736,397,3400,28,525,3797,0.0544346151531564,0.05518444965998677,0.0,-1.5913154533844458,False
tutti,lr_scored,0.05,4350,425,0.09770114942528736,383,3121,42,804,3504,0.0502843315184513,0.05021173623714459,0.0,0.13793103448274668,True
tutti,lr_scored,0.055,4350,425,0.09770114942528736,361,2843,64,1082,3204,0.044950434835492305,0.045186401508240596,0.0,-0.405433646812974,False
tutti,lr_scored,0.06,4350,425,0.09770114942528736,347,2578,78,1347,2925,0.04194179505991685,0.04010760577158231,0.0,2.8735632183907853,True
tutti,lr_scored,0.065,4350,425,0.09770114942528736,332,2315,93,1610,2647,0.039325096809883824,0.034974491363943705,0.0,6.258178603006171,True
tutti,lr_scored,0.07,4350,425,0.09770114942528736,316,2077,109,1848,2393,0.03670498084291187,0.02978618217772834,0.0,9.192118226600973,True
tutti,lr_scored,0.075,4350,425,0.09770114942528736,300,1865,125,2060,2165,0.034203168685927314,0.02454178316247284,0.0,11.91570881226052,True
tutti,lr_scored,0.08,4350,425,0.09770114942528736,285,1686,140,2239,1971,0.03181409295352325,0.019240379810094965,0.0,14.459770114942526,True
tutti,lr_scored,0.085,4350,425,0.09770114942528736,269,1522,156,2403,1791,0.029336096978832986,0.013881037623264869,0.0,16.636916835699797,True
tutti,lr_scored,0.09,4350,425,0.09770114942528736,262,1369,163,2556,1631,0.029104458759631177,0.008462801566249858,0.0,20.871008939974445,True
tutti,lr_scored,0.095,4350,425,0.09770114942528736,247,1221,178,2704,1468,0.027316949260176547,0.0029846954975551038,0.0,23.179673321234112,True
tutti,lr_scored,0.1,4350,425,0.09770114942528736,233,1115,192,2810,1348,0.025083014048531294,-0.0025542784163473803,0.0,24.873563218390807,True
tutti,lr_scored,0.105,4350,425,0.09770114942528736,226,999,199,2926,1225,0.025011237398060746,-0.008155140306941477,0.0,28.27038861521618,True
tutti,lr_scored,0.11,4350,425,0.09770114942528736,217,922,208,3003,1139,0.023688492832235567,-0.013818933230014194,0.0,30.346917450365716,True
tutti,lr_scored,0.115,4350,425,0.09770114942528736,208,843,217,3082,1051,0.02263393726865381,-0.019546723813234607,0.0,32.4607696151924,True
tutti,lr_scored,0.12,4350,425,0.09770114942528736,192,768,233,3157,960,0.02006269592476489,-0.025339602925809807,0.0,33.29501915708811,True
