group,model,bin,n,events,predicted,observed,low,high
non diabetici,random_forest,6,408,41,0.08387744488542803,0.10049019607843138,0.07494175129239074,0.1334915110277766
non diabetici,random_forest,7,409,33,0.09565059885240144,0.08068459657701711,0.05802669648151984,0.11114589345215678
non diabetici,random_forest,8,408,45,0.11161369907125387,0.11029411764705882,0.0834575420331481,0.14440067090492925
non diabetici,random_forest,9,409,49,0.13507029488913755,0.1198044009779951,0.09181858126566539,0.15486560377623965
non diabetici,random_forest,10,409,98,0.19764195268277895,0.2396088019559902,0.2007861820599018,0.2832772630009528
tutti,random_forest,1,435,20,0.035214472915868655,0.04597701149425287,0.029957430884492948,0.06994529694461873
tutti,random_forest,2,435,19,0.05154651736217689,0.04367816091954023,0.028138088478550673,0.06720718480792359
tutti,random_forest,3,435,21,0.06059058020935043,0.04827586206896552,0.03178933696832281,0.07267084540342628
tutti,random_forest,4,435,19,0.06873986682133677,0.04367816091954023,0.028138088478550673,0.06720718480792359
tutti,random_forest,5,435,26,0.0772310888109008,0.059770114942528735,0.041111860844347065,0.08613559424058909
tutti,random_forest,6,435,38,0.0872215407372038,0.08735632183908046,0.06430512945597358,0.11763178014061146
tutti,random_forest,7,435,42,0.1010631394562641,0.09655172413793103,0.07222573015345832,0.12794099761367636
tutti,random_forest,8,435,45,0.11931085394159083,0.10344827586206896,0.07821552298007252,0.13562356841497442
tutti,random_forest,9,435,68,0.14957371666092922,0.15632183908045977,0.12521976278324037,0.19344078309246693
tutti,random_forest,10,435,127,0.22941096627084925,0.29195402298850576,0.2511977105610826,0.33635265333023184
diabetici,xgboost,1,27,5,0.049852813766510365,0.18518518518518517,0.08180707142976529,0.36698683618548433
diabetici,xgboost,2,26,0,0.08240764616773674,0.0,0.0,0.1287289218592153
diabetici,xgboost,3,26,6,0.11432536834707624,0.23076923076923078,0.11033849405783291,0.42051554078943687
diabetici,xgboost,4,26,5,0.15019244414109448,0.19230769230769232,0.0850706114894241,0.3787625711931699
diabetici,xgboost,5,27,5,0.18430679650218393,0.18518518518518517,0.08180707142976529,0.36698683618548433
diabetici,xgboost,6,26,7,0.22089102692328966,0.2692307692307692,0.13704448322018378,0.46083040379176177
diabetici,xgboost,7,26,7,0.258170577769096,0.2692307692307692,0.13704448322018378,0.46083040379176177
diabetici,xgboost,8,26,10,0.30971331206651836,0.38461538461538464,0.22428594435712793,0.5746514991488448
diabetici,xgboost,9,26,10,0.3757836108024304,0.38461538461538464,0.22428594435712793,0.5746514991488448
diabetici,xgboost,10,27,13,0.5411007371213701,0.48148148148148145,0.30743226976218463,0.6601438424504771
non diabetici,xgboost,1,409,17,0.023885883779144253,0.04156479217603912,0.02611050678874763,0.06555048803670056
non diabetici,xgboost,2,409,17,0.03414050617180123,0.04156479217603912,0.02611050678874763,0.06555048803670056
non diabetici,xgboost,3,408,16,0.04158189535761868,0.0392156862745098,0.024280535157626522,0.06274678580060328
non diabetici,xgboost,4,409,27,0.04915536457358474,0.06601466992665037,0.04576257761052681,0.09434316415756415
non diabetici,xgboost,5,409,24,0.0584307486113971,0.05867970660146699,0.03974633467139186,0.08582598301390629
non diabetici,xgboost,6,408,30,0.07016080316594416,0.07352941176470588,0.05198790378564368,0.10302674433527113
non diabetici,xgboost,7,409,40,0.08557983012391765,0.097799511002445,0.0726451782783144,0.13043873451521215
non diabetici,xgboost,8,408,44,0.10759157406202714,0.10784313725490197,0.08132138593827293,0.1416805893453269
non diabetici,xgboost,9,409,45,0.14532230723385123,0.1100244498777506,0.08325088956037362,0.14405539670447434
non diabetici,xgboost,10,409,97,0.26674756659126514,0.2371638141809291,0.19850715283632864,0.28071181753026164
tutti,xgboost,1,435,18,0.02427064640790048,0.041379310344827586,0.026332218079018813,0.06445560066481806
tutti,xgboost,2,435,19,0.0348136040285743,0.04367816091954023,0.028138088478550673,0.06720718480792359
tutti,xgboost,3,435,19,0.0425971004983474,0.04367816091954023,0.028138088478550673,0.06720718480792359
tutti,xgboost,4,435,24,0.05072208545331292,0.05517241379310345,0.03735278890227685,0.08077975709738447
tutti,xgboost,5,435,35,0.06103355907674488,0.08045977011494253,0.05841975028940159,0.10984479567927123
tutti,xgboost,6,435,34,0.07392656511958985,0.07816091954022988,0.056469481756819956,0.10723760966921544
tutti,xgboost,7,435,42,0.09151099824357303,0.09655172413793103,0.07222573015345832,0.12794099761367636
tutti,xgboost,8,435,44,0.11661298177365596,0.10114942528735632,0.07621451176910639,0.13306712508330312
tutti,xgboost,9,435,58,0.16337606982253064,0.13333333333333333,0.10457687212806008,0.16850912832127315
tutti,xgboost,10,435,132,0.30893693884898876,0.30344827586206896,0.2621200793275824,0.34821755727691905
