group,model,threshold,n,positives,tests_per_100,found_per_100,missed_per_100,tests_per_case,tests_per_case_all,extra_tests_per_100_all,extra_cases_per_100_all,cost_per_case,cost_per_case_all,saving_per_100,incremental_cost_per_case,cost_per_case_low,cost_per_case_all_low,saving_per_100_low,incremental_cost_per_case_low,cost_per_case_high,cost_per_case_all_high,saving_per_100_high,incremental_cost_per_case_high
non diabetici,random_forest,0.2,4087,357,3.5233667726939073,1.0521164668460974,7.682896990457548,3.3488372093023258,11.448179271708684,96.4766332273061,7.682896990457548,164.09302325581396,560.9607843137255,4727.3550281379985,615.3089171974523,120.55813953488372,412.1344537815126,3473.1587961830196,452.0636942675159,214.32558139534885,732.6834733893558,6174.50452654759,803.6687898089172
tutti,random_forest,0.02,4350,425,99.60919540229885,9.770114942528735,0.0,10.195294117647059,10.235294117647058,0.39080459770114945,0.0,499.5694117647059,501.52941176470586,19.149425287356323,,367.0305882352941,368.4705882352941,14.06896551724138,,652.4988235294118,655.0588235294117,25.011494252873565,
tutti,random_forest,0.025,4350,425,98.98850574712644,9.74712643678161,0.022988505747126436,10.15566037735849,10.235294117647058,1.0114942528735633,0.022988505747126436,497.62735849056605,501.52941176470586,49.5632183908046,2156.0,365.60377358490564,368.4705882352941,36.41379310344828,1584.0,649.9622641509434,655.0588235294117,64.73563218390805,2816.0
tutti,random_forest,0.03,4350,425,97.5632183908046,9.724137931034482,0.04597701149425287,10.033096926713949,10.235294117647058,2.4367816091954024,0.04597701149425287,491.6217494089835,501.52941176470586,119.40229885057472,2597.0,361.19148936170217,368.4705882352941,87.72413793103449,1908.0,642.1182033096927,655.0588235294117,155.95402298850576,3392.0
tutti,random_forest,0.035,4350,425,95.5632183908046,9.67816091954023,0.09195402298850575,9.874109263657957,10.235294117647058,4.436781609195402,0.09195402298850575,483.83135391923986,501.52941176470586,217.4022988505747,2364.25,355.46793349168644,368.4705882352941,159.72413793103448,1737.0,631.9429928741092,655.0588235294117,283.95402298850576,3088.0
tutti,random_forest,0.04,4350,425,93.33333333333333,9.586206896551724,0.1839080459770115,9.73621103117506,10.235294117647058,6.666666666666667,0.1839080459770115,477.07434052757793,501.52941176470586,326.6666666666667,1776.25,350.50359712230215,368.4705882352941,240.0,1305.0,623.1175059952038,655.0588235294117,426.6666666666667,2320.0
tutti,random_forest,0.045,4350,425,90.41379310344827,9.333333333333334,0.4367816091954023,9.687192118226601,10.235294117647058,9.586206896551724,0.4367816091954023,474.6724137931035,501.52941176470586,469.7241379310345,1075.421052631579,348.73891625615767,368.4705882352941,345.1034482758621,790.1052631578947,619.9802955665025,655.0588235294117,613.5172413793103,1404.6315789473683
tutti,random_forest,0.05,4350,425,86.66666666666667,9.218390804597702,0.5517241379310345,9.401496259351621,10.235294117647058,13.333333333333334,0.5517241379310345,460.67331670822944,501.52941176470586,653.3333333333334,1184.1666666666667,338.45386533665834,368.4705882352941,480.0,870.0,601.6957605985037,655.0588235294117,853.3333333333334,1546.6666666666667
tutti,random_forest,0.055,4350,425,81.54022988505747,9.011494252873563,0.7586206896551724,9.048469387755102,10.235294117647058,18.45977011494253,0.7586206896551724,443.375,501.52941176470586,904.528735632184,1192.3333333333333,325.7448979591837,368.4705882352941,664.551724137931,876.0,579.1020408163265,655.0588235294117,1181.4252873563219,1557.3333333333333
tutti,random_forest,0.06,4350,425,76.13793103448276,8.735632183908047,1.0344827586206897,8.715789473684211,10.235294117647058,23.862068965517242,1.0344827586206897,427.0736842105263,501.52941176470586,1169.2413793103449,1130.2666666666667,313.7684210526316,368.4705882352941,859.0344827586207,830.4,557.8105263157895,655.0588235294117,1527.1724137931035,1476.2666666666667
tutti,random_forest,0.065,4350,425,69.60919540229885,8.39080459770115,1.3793103448275863,8.295890410958904,10.235294117647058,30.39080459770115,1.3793103448275863,406.4986301369863,501.52941176470586,1489.1494252873563,1079.6333333333334,298.65205479452055,368.4705882352941,1094.0689655172414,793.2,530.9369863013699,655.0588235294117,1945.0114942528735,1410.1333333333334
