model,fold,fraction,draw,n_train,positives,auc,pr_auc
lr_penalized,4,0.4,2,1392,136,0.7239565380292243,0.2601600838179323
lr_penalized,4,0.6,0,2088,204,0.7227875608842262,0.24908707083459392
lr_penalized,4,0.6,1,2088,204,0.7496590483327089,0.2769051656178902
lr_penalized,4,0.6,2,2088,204,0.7180367178718622,0.2336587344643742
lr_penalized,4,0.8,0,2784,272,0.7531509928812289,0.2693369609958717
lr_penalized,4,0.8,1,2784,272,0.7262045710003747,0.271728608479616
lr_penalized,4,0.8,2,2784,272,0.7336080929186961,0.2691825283377603
lr_penalized,4,1.0,0,3480,340,0.7427950543274635,0.27122717828321286
xgboost,0,0.2,0,696,68,0.6721618583739228,0.19251650471142528
xgboost,0,0.2,1,696,68,0.6068190333458224,0.17889398921257368
xgboost,0,0.2,2,696,68,0.6057100037467217,0.16549429652792727
xgboost,0,0.4,0,1392,136,0.644705882352941,0.18906130207351693
xgboost,0,0.4,1,1392,136,0.6419408017984264,0.1977110588385168
xgboost,0,0.4,2,1392,136,0.6133533158486324,0.1728164647324413
xgboost,0,0.6,0,2088,204,0.6284451105282878,0.1730279322796346
xgboost,0,0.6,1,2088,204,0.6441513675533908,0.2043892776845162
xgboost,0,0.6,2,2088,204,0.6146871487448482,0.1590090510286519
xgboost,0,0.8,0,2784,272,0.641034095166729,0.17998323706160915
xgboost,0,0.8,1,2784,272,0.6244436118396403,0.18621733104975582
xgboost,0,0.8,2,2784,272,0.6163207193705508,0.17398625074014862
xgboost,0,1.0,0,3480,340,0.6324915698763581,0.19085656409921237
xgboost,1,0.2,0,696,68,0.6586586736605471,0.19410530682254817
xgboost,1,0.2,1,696,68,0.6331360059947546,0.1963992152383248
xgboost,1,0.2,2,696,68,0.6679505432746347,0.19380145648265473
xgboost,1,0.4,0,1392,136,0.6472836268265267,0.2025443203939324
xgboost,1,0.4,1,1392,136,0.6504458598726115,0.1934026670355058
xgboost,1,0.4,2,1392,136,0.6999925065567627,0.28967128417335647
xgboost,1,0.6,0,2088,204,0.6911202697639566,0.2438006799835876
xgboost,1,0.6,1,2088,204,0.7030648182840016,0.26032689486669214
xgboost,1,0.6,2,2088,204,0.676283252154365,0.2564568333361045
xgboost,1,0.8,0,2784,272,0.7013713001124017,0.2818313955400576
xgboost,1,0.8,1,2784,272,0.6852004496065943,0.2577505712701157
xgboost,1,0.8,2,2784,272,0.6782465342825027,0.26187126213729633
xgboost,1,1.0,0,3480,340,0.6903559385537654,0.2731974238350321
xgboost,2,0.2,0,696,68,0.6443761708505058,0.16037066299644398
xgboost,2,0.2,1,696,68,0.630648182840015,0.15312876370798148
xgboost,2,0.2,2,696,68,0.6801948295241662,0.23529735312177483
xgboost,2,0.4,0,1392,136,0.6226301985762458,0.16700564841471174
xgboost,2,0.4,1,1392,136,0.6011539902585238,0.1457371196553528
xgboost,2,0.4,2,1392,136,0.6301686024728362,0.17067754446206018
xgboost,2,0.6,0,2088,204,0.6417534657174973,0.21253035258278222
xgboost,2,0.6,1,2088,204,0.6402547770700637,0.2344984244464851
xgboost,2,0.6,2,2088,204,0.63695766204571,0.18504952004258682
xgboost,2,0.8,0,2784,272,0.6457100037467216,0.20288089323882735
xgboost,2,0.8,1,2784,272,0.6311727238666167,0.21534157441840757
xgboost,2,0.8,2,2784,272,0.649306856500562,0.21029026568965542
xgboost,2,1.0,0,3480,340,0.6517647058823529,0.21511542128359035
xgboost,3,0.2,0,696,68,0.7047133757961784,0.25271659501854693
xgboost,3,0.2,1,696,68,0.6707081303859124,0.21231644515890066
xgboost,3,0.2,2,696,68,0.6800149868864742,0.22440916174315262
xgboost,3,0.4,0,1392,136,0.7422255526414387,0.29171668928178884
xgboost,3,0.4,1,1392,136,0.7024503559385538,0.25014532705354386
xgboost,3,0.4,2,1392,136,0.7244960659423003,0.28757000394765814
xgboost,3,0.6,0,2088,204,0.7161783439490444,0.2592882556395008
xgboost,3,0.6,1,2088,204,0.7533158486324466,0.3405754572108476
xgboost,3,0.6,2,2088,204,0.7317497189958786,0.27818994587906787
xgboost,3,0.8,0,2784,272,0.7513076058448855,0.3128566582760579
xgboost,3,0.8,1,2784,272,0.7312251779692769,0.2809183189585641
xgboost,3,0.8,2,2784,272,0.740711877107531,0.32510622313728904
